en,ngiemboon
prize,fùʼ
dish antenna,jÿó
BM,leŋ
work,fàʼ
sway,léŋ
pick out,lǎg
lien,mbá
call on,ésa
pipage,káb
relieve oneself,lǎg
rumple,éfá
transfuse,gʉ̌
vitamin A,le-
shrill,káb
egoist,kim
select,lìi
suppuration,ffó
braggy,máa
rotten,lʉ̌
taro root,kǔʼ
aluminum,jùa
pipe,káb
dethaw,ésí
mellow out,ésí
compare,làa
watchword,gwá
home plate,káŋ
acquaintance,agí
medicine,ffo
material,éfa
sound of an instrument buried in a moist body,fùb
antiophthalmic factor,le-
Greenwich Village,láʼ
character,lùɔ
tumble,ésa
faecal matter,lʉŋ
select,lùa
scatter,ésa
B. B. King,fùɔ
fluff,éfa
bile,lẅè
cloud,lém
Tyre,kwò
taste perception,gyě
lip,kùb
prime,lùa
sound of a bell ringing,kéŋ
point,lǎg
scarf out,éfa
go down on,éfa
hoof,kwò
cast,éfa
chew out,gág
share-out,gàb
exclaim,gwá
mass,láʼ
black bean aphid,làŋ
saucer,jÿó
hole,gem
protagonist,agí
swing over,léŋ
tooshie,jʉʼ
with child,máa
boastful,máa
pull up stakes,lwò
lamp,lâm
defecate,leŋ
take a crap,lʉŋ
plough,ésa
pigpen,kab
comparison,làa
off-white,kẅǐ
leave-taking,lwò
strong wind,fóm
sp. ant,ffó
openhanded,máa
forget,lwò
fecal matter,lʉŋ
shin,fʉ̌
crop,fàʼ
pool,lǎg
medical specialty,ffo
position,lǎg
bounteous,máa
coal,kyé
overindulge,éfa
handle,ḿbá
friend,ayí
miscellanea,cùb
propagate,ésa
cover,ḿbá
crap,leŋ
chum,fɛ́
BM,lʉŋ
body of work,fàʼ
how much?,láa
louse,fúɔ
scream,gwá
sweep,léŋ
amp,le-
stamp,kèm
change by reversal,ésa
tenseness,cʉ̀
appreciation,gyě
jive,léŋ
choice,lùɔ
strange,kʉ́
lilt,léŋ
prominent,máa
exercise,fàʼ
setback,éfa
squall,gwá
cupful,gʉ̌
parting,lwò
wasteweir,ésa
sprightliness,lém
run out,ésa
big,máa
commode,leŋ
medicament,ffo
spend a penny,lǎg
shoot a line,éfa
extend,lɔ̀
osseous tissue,kẅǐ
mix,cùb
shout out,gwá
masses,láʼ
barf,éfa
piece of meat,kìm
buddy,fɛ́
muck up,éfa
backside,jʉʼ
acquaintance,ayí
for you,gẅí
Martin Luther King Jr.,fùɔ
mogul,fùɔ
ravisher,jÿó
invertebrate foot,kwò
group A,le-
manducate,gág
stern,jʉʼ
move,lɔ̀
think,ḿbá
sample,gyě
life,lém
stain,lǎg
little,kʉ́
be foolish,éfú
sound of cloth ripping,kîɛ
squander,éfa
character,lùa
haze over,lém
splatter,ésa
quality,lùɔ
part of the thorax,gáŋ
shortage,cÿó
battle cry,gwá
rick,ésa
do work,fàʼ
defecate,lʉŋ
one-half,háb
angstrom,le-
observe,mâg
melting,ésí
calibre,lìi
cut,léŋ
pocket-size,kʉ́
banker's bill,mâg
bureau,kùb
brag,éfa
pop off,lɔ̀
wee,lǎg
ichor,ffó
value,fùʼ
pee-pee,lǎg
blow out,éfa
fade,ésí
valley,fúʼ
choker,lóŋ
broadcast,ésa
crap,lʉŋ
throw up,éfa
turn over,ésa
calibre,lùa
tone,lìi
queen,fùɔ
bag,jÿó
reverse,ésa
go out,lwò
sour,ésa
shitty,lʉ̌
prize,lìi
crack,lɔ̀
dangle,léŋ
ca-ca,leŋ
fuck up,éfa
mixing,cùb
go,ésa
groundwork,kwò
blind person,fʉ̀
plate,káŋ
bumble,éfa
flub,éfa
tibia,fʉ̌
dust,ésa
commode,lʉŋ
weave,éfá
barrier,kʉŋ
be clean,ésí
give way,lɔ̀
tone,mâg
conk,lɔ̀
adult,máa
yack,gág
irregularity,fʉ̀
choice,lùa
thrust,éfa
very soft,cûu
micturate,lǎg
toxicant,liʼ
crisp,éfá
farce,éfa
sleeve,fʉ́
bird louse,fúɔ
vauntingly,máa
meander,éfá
pip,lǎg
indolence,lǒŋ
die,lɔ̀
sexual abstention,kẅì
short temper,mbá
deal,ḿbá
swarm,lém
self-aggrandizing,máa
overgorge,éfa
char,kyé
string,éfá
call up,ḿbá
kettle of fish,gem
restiveness,lóŋ
rim,kùb
oeuvre,fàʼ
piddle,lǎg
ally,ayí
sit down,jʉʼ
handsome,máa
chaffer,gág
booster,agí
snuff it,lɔ̀
invest,jʉʼ
melt,ésí
plumage,ffo
quality,lùa
rear end,jʉʼ
hold up,lɔ̀
look after,ḿbá
purgation,éfa
mess up,éfa
shove,éfa
crinkle,éfá
dirt ball,fúɔ
boastfully,máa
notice,mâg
pair of scissors,gwà
locomote,lɔ̀
never,laa
blemish,lǎg
break up,ésa
hoop,kàg
fail,lɔ̀
lick,fàʼ
become blind,éfʉ
eminence,mâg
ca-ca,lʉŋ
dissipate,ésa
lineament,lùɔ
pulpit,kèm
corresponding,làa
for you,gẅi
toilet,lʉŋ
bump,éfa
pigsty,kab
aluminium,jùa
exit,lwò
communion,gàb
pick,kwò
honk,éfa
axerophthol,le-
sound,lɔ̀
dais,kèm
focus,cʉ̀
adultery,gɛ́
loving cup,gʉ̌
call back,ḿbá
foul up,éfa
tiller,leŋ
spew,éfa
moo-cow,fòŋ
turning,ésa
timber,lìi
motley,cùb
puff,éfa
Friend,agí
notation,mâg
make out,lóŋ
pearl,kẅǐ
feces,leŋ
run short,lɔ̀
rallying cry,gwá
twist,ésa
put to work,fàʼ
crowing,máa
settlement,láʼ
break,lɔ̀
address,ḿbá
dispel,ésa
sty,kab
hollow,gem
circularise,ésa
Brother,fɛ́
leaf,ffo
metrical unit,kwò
rear,jʉʼ
dainty,ḿbá
fall,ésa
gormandise,éfa
drum,kẅǐ
confab,gág
flavor,lém
live,lɔ̀
old age,lÿò
fornication,gàb
tyre,kwò
bend,ésa
fully grown,máa
go,lɔ̀
chitchat,gág
human foot,kwò
drop,léŋ
sword,gwà
induct,jʉʼ
Village,láʼ
partake in,gàb
wind,éfá
move around,ésa
look,lém
caliber,lùɔ
bobble,éfa
scrunch up,éfá
booster,ayí
liberal,máa
loanword,fùu
try,gyě
mellow,ésí
call,gwá
pour forth,ésa
swing out,léŋ
accentuate,cʉ̀
edda,kǔʼ
go game,lɔ̀
substructure,kwò
deadening,fʉ̀
hold dear,fùʼ
feeling,lém
self-aggrandising,máa
exit,lɔ̀
search for,ḿbá
concoction,cùb
neck,lóŋ
tail,jʉʼ
spillage,ésa
atmospheric condition,jʉʼ
like,làa
flake off,kùb
screw up,éfa
home,káŋ
commonplace,cʉ̀
foreign,kʉ́
purify,éfa
serve,jÿó
mediation,kěm
road,lǎŋ
descry,lǎg
lead,lɔ̀
imagine,ḿbá
get going,lɔ̀
exploit,fàʼ
obnubilate,lém
sprain,ésa
variety,cùb
lineament,lùa
seat,jʉʼ
spue,éfa
unusual,kʉ́
connection,lǔŋ
full-grown,máa
retrieve,ḿbá
savour,gyě
take down,mâg
vane,gwà
dividing up,gàb
chatter,gág
rebuke,gág
circularize,ésa
stinky,lʉ̌
decayed,lʉ̌
sp. tree,gẅà
lowly,kʉ́
have words,gág
pot,lʉŋ
gustation,gyě
skin,kùb
isn’t it?,káa
reckon,ḿbá
dapple,lǎg
crustal plate,káŋ
miscellany,cùb
egotist,kim
addle,lǎg
Federal Reserve note,mâg
emphasise,cʉ̀
claver,gág
sweetheart,jÿó
come from,éfó
small,kʉ́
bollix,éfa
turn,ésa
depart,lɔ̀
collar,lóŋ
go blind,éfʉ
Billie Jean Moffitt King,fùɔ
confabulate,gág
music,ffo
leaf blade,gwà
mix up,kèm
share,gàb
basket,kàg
get out,lwò
act,ésa
place,lǎg
perceptiveness,gyě
wrench,ésa
nab,lóŋ
guess,ḿbá
nervousness,lóŋ
muddle,gem
tomorrow,jǔɔ
plateful,káŋ
billet,lǎg
bark,kùb
call on the carpet,gág
turn,fàʼ
undress,kùb
cash in one's chips,lɔ̀
dresser,kùb
gorge,éfa
taro,kǔʼ
flush,éfa
patch,lǎg
dental plate,káŋ
act,fàʼ
annotation,mâg
cogitate,ḿbá
smirch,lǎg
reproof,gág
buttocks,jʉʼ
recognize,lǎg
caliber,lùa
impart,éfu
belittled,kʉ́
brim,kùb
act upon,fàʼ
latrine,kwɛ
power,fùɔ
feathering,ffo
golf stroke,léŋ
take a leak,lǎg
poppycock,éfa
egocentric,kim
result,lwò
throne,leŋ
strewing,ésa
disgorge,éfa
adultery,gàb
sp. tree that you can make jute from its bark,fàŋ
glut,éfa
hoarded wealth,fùʼ
cat,éfa
tiller,lʉŋ
diffuse,ésa
spirit up,lém
collection plate,káŋ
scold,gág
jitteriness,lóŋ
pirouette,ésa
whirl,lɔ̀
be messy,ésa
route,lǎŋ
apportion,gàb
deform,ésa
drop dead,lɔ̀
penchant,gyě
tube,káb
take note,mâg
leg it,kwò
chastity,kẅì
hoof it,kwò
business leader,fùɔ
talk,ésa
obscure,lém
line,éfá
looker,jÿó
tension,cʉ̀
bungle,éfa
plutonium,ffó
bromide,cʉ̀
leave of absence,lwò
pare,kùb
outcry,gwá
angstrom unit,le-
smell,lém
not,kaa
medicate,ffo
banality,cʉ̀
clobber,éfa
select,lùɔ
disco biscuit,lɔ̀
sp. squirrel,lèŋ
treasure,fùʼ
yap away,gág
hollo,gwá
vomit up,éfa
container,kùu
fanny,jʉʼ
make,fàʼ
arm,lúʼ
emphasize,cʉ̀
ampere,le-
chit-chat,gág
workplace,fàʼ
scattering,ésa
champion,agí
stool,lʉŋ
function,fàʼ
tell apart,lǎg
a,le-
already,láʼ
dejection,lʉŋ
crease,éfá
too,mbǎ
medicinal drug,ffo
will,lwò
pig out,éfa
ball up,éfa
foliage,ffo
melt down,ésí
vomit,éfa
operate,fàʼ
very fast,kǎd
get,lɔ̀
float,éfa
riff,ffo
scour,éfa
government note,mâg
dot,ésa
XTC,lɔ̀
poisonous substance,liʼ
recall,ḿbá
sit,jʉʼ
turn,lɔ̀
smorgasbord,cùb
travel,lɔ̀
predilection,gyě
Pus,ffó
circulate,ésa
goody,ḿbá
lecture,gág
thorax,kùb
poison,liʼ
isn’t it?,élé
brave,jʉʼ
release,ésa
basketball hoop,kàg
note of hand,mâg
cakehole,gem
intent,lém
fling,lɔ̀
go away,lwò
nausea,guɔ
thawing,ésí
give-up the ghost,lɔ̀
plow,ésa
blood brother,fɛ́
epidemic cholera,kǔa
friend,agí
vale,fúʼ
taking into custody,lóŋ
Riley B King,fùɔ
shape,fàʼ
mean,ḿbá
faeces,lʉŋ
behind,jʉʼ
tycoon,fùɔ
inspirit,lém
information source,líɛ
accent,cʉ̀
tone,lém
envenom,liʼ
great,máa
denture,káŋ
louse up,éfa
train of thought,éfá
swing,léŋ
chest of drawers,kùb
piss,lǎg
mug up,kẅǐ
suck,éfa
disembodied spirit,lém
large,máa
stunner,jÿó
equivalence,làa
conk out,lɔ̀
cry out,gwá
citizenry,láʼ
shit,leŋ
dish,jÿó
crook,ésa
jumpiness,lóŋ
pee,lǎg
bring,fàʼ
punctuate,cʉ̀
lug,éfa
buns,jʉʼ
befog,lém
satiate,éfa
supporter,ayí
moribund,kwè
sassing,kùb
weather,jʉʼ
yesterday,jǔɔ
shock,éfa
spoil,éfa
make,leŋ
Adam,lɔ̀
minor,kʉ́
insect,fúɔ
work out,fàʼ
part of a dividing up,kìm
champion,ayí
contribute,éfu
sense of taste,gyě
brother,fɛ́
note,mâg
neck opening,lóŋ
sound of feet striking the ground,lêŋ
fix,gem
deal,gàb
abandoned concession,fòm
os,kẅǐ
pharynx,gág
barque,kùb
chide,gág
dish aerial,jÿó
sickness,guɔ
engorge,éfa
Asiatic cholera,kǔa
constipation,fʉ̀
go away,lɔ̀
delicacy,ḿbá
ingurgitate,éfa
weep,gwá
function,lɔ̀
apprehend,lóŋ
round,ésa
comrade,fɛ́
C,éfa
assortment,cùb
desquamation,kùb
comparable,làa
mark,mâg
coffin,kùb
calibre,lùɔ
mess,gem
and so,mbà
Quaker,ayí
muddle,lǎg
operate,lɔ̀
so,mbà
cultivate,fàʼ
drift,éfa
swing music,léŋ
plant louse,fúɔ
small town,láʼ
vociferation,gwá
smasher,jÿó
cocoyam,kǔʼ
promissory note,mâg
timbre,lìi
masticate,gág
bout,ésa
tone,lùɔ
bring,éfu
top executive,fùɔ
overawe,fòŋ
ribbon,éfá
cry,gwá
prize,lùɔ
work on,fàʼ
purulence,ffó
care for,fùʼ
creditor,fùu
cock-a-hoop,máa
distinction,mâg
taste sensation,gyě
blast,éfa
rifle,lɔ̀
live on,lɔ̀
berate,gág
aiele sap,lìi
carry straddling the back,ḿba
mantrap,jÿó
posterior,jʉʼ
puzzle out,fàʼ
pectus,kùb
binge,éfa
derriere,jʉʼ
admixture,cùb
turn of events,ésa
scrunch,éfá
study,fàʼ
choke up,éfa
purport,lém
ordure,leŋ
preference,gyě
make,lʉŋ
stump,kèm
hemophile,fàa
besides,mbǎ
natter,gág
King,fùɔ
dress down,gág
screw thread,éfá
crapper,leŋ
call down,gág
fog,lém
foundation,kwò
search by following the tracks,ḿbá
urinate,lǎg
casket,kùb
fornication,gɛ́
fit,lɔ̀
ft,kwò
quarter of beef,kìb
sp. mouse,lub
hind end,jʉʼ
ally,agí
go forth,lwò
liveliness,lém
diminished,kʉ́
spleen sickness,mbá
kick the bucket,lɔ̀
wee-wee,lǎg
hole out,gem
war cry,gwá
savor,gyě
gall,lẅè
infertility,kǐŋ
be sick,éfa
cerebrate,ḿbá
chuck,éfa
shoe collar,lóŋ
stuff and nonsense,éfa
leave behind,lwò
braggart,máa
kickshaw,ḿbá
try out,gyě
strip,kùb
bottom,jʉʼ
chest,kùb
botch up,éfa
take to task,gág
baron,fùɔ
wrinkle,éfá
low,kʉ́
gas,éfa
gasconade,éfa
distribute,ésa
opine,ḿbá
disseminate,ésa
faecal matter,leŋ
dog collar,lóŋ
spread,ésa
intend,ḿbá
swash,éfa
tree stump,kèm
unthaw,ésí
squirrel,kàŋ
infantry,kwò
prat,jʉʼ
routine,ésa
stress,cʉ̀
pes,kwò
brave out,jʉʼ
weather condition,jʉʼ
understructure,kwò
tone,lùa
allow,lwò
get around,léŋ
apprehension,lóŋ
gravid,máa
upchuck,éfa
thaw,ésí
swelled,máa
ordure,lʉŋ
heavy,máa
acedia,lǒŋ
sour,fàʼ
tour,ésa
celibacy,kẅì
burn out,éfa
prize,lùa
lambaste,gág
ass,jʉʼ
tie,lǔŋ
timber,lùɔ
shinbone,fʉ̌
wrick,ésa
go,fàʼ
cherish,fùʼ
take a crap,leŋ
crumple,éfá
vainglorious,máa
work,ésa
stare,cʉ̀
cervix,lóŋ
likewise,mbǎ
hoi polloi,láʼ
piping,káb
conceive,ḿbá
humble,kʉ́
discern,lǎg
blazon out,gwá
people,láʼ
become,ésa
magnanimous,máa
stultification,fʉ̀
mention,mâg
sp. mushroom with large head and long stem,gúʼ
potty,leŋ
spleen,mbá
non,kaa
maculation,lǎg
overcast,lém
and then,mbà
magnate,fùɔ
visitor to sick people,fòŋ
give out,lɔ̀
banknote,mâg
sound of a heavy load,bîb
lousy,lʉ̌
cow,fòŋ
pass on,lwò
stuff,éfa
prime,lìi
lambast,gág
ambo,kèm
slop,ésa
biting louse,fúɔ
holler,gwá
male monarch,fùɔ
puddle,lǎg
allow for,lwò
peach,jÿó
process,ḿbá
retch,éfa
make for,fàʼ
mottle,lém
unclothe,kùb
golf hole,gem
X,lɔ̀
yam,júʼ
block,éfa
ferment,ésa
wreak,fàʼ
rag,gág
waste,éfa
debone,kẅǐ
connexion,lǔŋ
make out,lǎg
baseball swing,léŋ
line,mâg
bequeath,lwò
practice of medicine,ffo
muff,éfa
stinking,lʉ̌
seam,éfá
trounce,gág
tobacco pipe,káb
disappear,ésí
chew up,gág
podium,kèm
speckle,lǎg
distinguish,lǎg
visit,gág
tie-up,lǔŋ
preeminence,mâg
food,kǔʼ
cholera,kǔa
ferment,fàʼ
blow,éfa
cliche,cʉ̀
animal foot,kwò
bollocks up,éfa
lead,lwò
leave alone,lwò
daub,lǎg
solve,fàʼ
purge,éfa
flick,ffo
take a shit,lʉŋ
admirer,ayí
mixture,cùb
brand,gwà
pocket-sized,kʉ́
strong cold during times of fog,gém
provide,lwò
gormandize,éfa
very fast,fím
medication,ffo
sound of air moving,jÿâ
ruckle,éfá
breast,kùb
emphasis,cʉ̀
timber,lùa
pinch,lóŋ
deoxyadenosine monophosphate,le-
pass,lɔ̀
Al,jùa
crony,fɛ́
that ... there,gẅi
squeeze,éfa
soapbox,kèm
potty,lʉŋ
employment,fàʼ
ecstasy,lɔ̀
roadblock,kʉŋ
strip down,kùb
disgorge,ésa
draw,éfá
pickle,gem
plant out,ḿbá
depart,lwò
spell,ésa
entrust,lwò
photographic plate,káŋ
disrobe,kùb
cup,gʉ̌
flip,ffo
thread,éfá
tour,lɔ̀
character,lìi
portion out,gàb
appreciate,fùʼ
start,lɔ̀
knockout,jÿó
grind away,kẅǐ
lend,fùu
run low,lɔ̀
work,lɔ̀
form,fàʼ
farewell,lwò
spillway,ésa
taint,lém
thumb,ffo
nates,jʉʼ
food for thought,kǔʼ
endure,lɔ̀
peel,kùb
dearth,cÿó
throat,gág
minuscule,kʉ́
bone up,kẅǐ
association,lǔŋ
dishful,jÿó
become,lɔ̀
back talk,kùb
expire,lɔ̀
purse,éfá
meld,ésí
grownup,máa
ne'er,laa
protagonist,ayí
reprimand,gág
fundament,kwò
basketful,kàg
feces,lʉŋ
freehanded,máa
disperse,ésa
overeat,éfa
steel,gwà
tout,éfa
chew,gág
modest,kʉ́
cetacean,fàa
Sur,kwò
shoot the breeze,gág
defile,lém
sound of something moving without giving notice,kìb
musical note,mâg
bit,ésa
ember,kyé
take a shit,leŋ
eddo,kǔʼ
mist,lém
cram,kẅǐ
very fast,gǎd
choice,lìi
half,háb
skin,gûg
swot,kẅǐ
remark,mâg
peel off,kùb
toilet,leŋ
run,ésí
spread out,ésa
corrupt,lém
folio,ffo
proceed,lɔ̀
decease,lɔ̀
Martin Luther King,fùɔ
post,lǎg
atomic number 13,jùa
plume,ffo
offer,lɔ̀
becloud,lém
spotlight,lǎg
office,lǎg
leash,lóŋ
reversal,éfa
bit,lǎg
lend,éfu
gossip,gág
sick,éfa
metrical foot,kwò
trap,gem
dapple,lém
blend in,lɔ̀
crappy,lʉ̌
botch,éfa
gustatory modality,gyě
plow,ḿbá
bark,gûg
pal,fɛ́
pus,ffó
enceinte,máa
quality,lìi
englut,éfa
criminal conversation,gɛ́
ivory,kẅǐ
discase,kùb
consider,ḿbá
dry season,lùm
type A,le-
field goal,kàg
sterility,kǐŋ
shove off,éfa
standard-winged nightjar,kwó
spell,lɔ̀
raffia seed,kúb
regale,ḿbá
intellectual nourishment,kǔʼ
sanies,ffó
blob,lǎg
sharing,gàb
regorge,éfa
very dirty,kúd
add,éfu
feel,lém
belong,lɔ̀
pick up,lóŋ
raffia fibre,fǐŋ
break down,lɔ̀
loan,fùu
sprinkle,ésa
expectant,máa
care for,ḿbá
sound of a big object falling into water,cǔm
carry astride one's back,ḿba
electric fan,fàa
gem,fùʼ
foot up,kwò
vaunt,éfa
big businessman,fùɔ
smear,lǎg
upwind,jʉʼ
can,leŋ
bluster,éfa
make water,lǎg
treat,ḿbá
swellhead,kim
sp. tree,gwà
jaw,gág
sound of cloth ripping or rain beating down,gwâ
influence,fàʼ
bragging,máa
intermediation,kěm
leafage,ffo
illness,guɔ
sanctify,éfa
shriek,káb
very clean,kâb
gastritis,lÿò
supporter,agí
bollix up,éfa
feather,ffo
arrest,lóŋ
commixture,cùb
hindquarters,jʉʼ
croak,lɔ̀
organ pipe,káb
also,mbǎ
very calm,kěm
uncase,kùb
espy,lǎg
try,cʉ̀
vacillation,léŋ
good turn,ésa
give,lwò
call out,gwá
conditions,jʉʼ
knead,fàʼ
smack,gyě
atomic number 94,ffó
spill,ésa
tush,jʉʼ
sass,kùb
backtalk,kùb
Indian cholera,kǔa
multitude,láʼ
pot,leŋ
haemophile,fàa
yack away,gág
adenine,le-
hold out,lɔ̀
bad,máa
shell,káŋ
furrow,éfá
bodge,éfa
sloth,lǒŋ
reverse,éfa
throne,lʉŋ
Rex,fùɔ
foot,kwò
get up,kẅǐ
worm,fúɔ
Quaker,agí
lulu,jÿó
endure,jʉʼ
fledge,ffo
short letter,mâg
change state,ésa
rostrum,kèm
village,láʼ
laziness,lǒŋ
swot up,kẅǐ
world-beater,fùɔ
king,fùɔ
maw,gem
the great unwashed,láʼ
hemophiliac,fàa
haemophiliac,fàa
boast,éfa
timbre,lùɔ
rump,jʉʼ
fleck,lǎg
Ha,Ɛ̂ɛ
riffle,ffo
taste,gyě
tasting,gyě
as well,mbǎ
shove along,éfa
loan,éfu
can,lʉŋ
bone,kẅǐ
heart,lém
emotional state,lém
potpourri,cùb
fundament,jʉʼ
platitude,cʉ̀
play,ésa
lineament,lìi
choke,lɔ̀
handbasket,kàg
butt,jʉʼ
flake,kùb
greenback,mâg
black eye,éfa
square,ffo
one who slips into something,fàa
fellate,éfa
shout,gwá
golf shot,léŋ
bank bill,mâg
perish,lɔ̀
serve up,jÿó
discernment,gyě
gustatory sensation,gyě
mouthful,gyě
touch,lǎg
unknown,kʉ́
shin bone,fʉ̌
play,fàʼ
cup of tea,jÿó
stagnant,kwè
famine,cÿó
swinging,léŋ
dasheen,kǔʼ
sp. ant,lÿó
be stupid,éfú
partake,gàb
situation,lǎg
quick temper,mbá
dish out,jÿó
bighearted,máa
bestow,éfu
process,fàʼ
Friend,ayí
home base,káŋ
put a tie on,éfá
be adrift,éfa
old place,fòm
survive,lɔ̀
purging,éfa
divvy up,gàb
yam plant,júʼ
affiliation,lǔŋ
topographic point,lǎg
roof of the mouth,gág
wander,éfá
mould,fàʼ
gust,éfa
criminal conversation,gàb
pass away,lɔ̀
Pu,ffó
grown,máa
run,fàʼ
remonstrate,gág
blade,gwà
last,lɔ̀
impart,lwò
barque,gûg
dish up,jÿó
regurgitate,éfa
fumble,éfa
believe,ḿbá
rattle on,gág
caliber,lìi
bollocks,éfa
jam,gem
be blind,éfʉ
blend,lɔ̀
flex,ésa
cetacean mammal,fàa
unfreeze,ésí
nerves,lóŋ
dissolve,ésí
spy,lǎg
stomp,kèm
scraper,kùa
stool,leŋ
remember,ḿbá
cop,lóŋ
dejection,leŋ
tail end,jʉʼ
catch,lóŋ
festering,ffó
bawl out,gág
billet,mâg
strain,cʉ̀
recollect,ḿbá
bleeder,fàa
sully,lém
timbre,lùa
shit,lʉŋ
tomorrow future,gÿo
puke,éfa
leave,lwò
giving,máa
hamlet,láʼ
sucking louse,fúɔ
gaze,cʉ̀
