en,ngiemboon
carry astride one's back,ḿba
plow,ḿbá
gust,éfa
consider,ḿbá
mean,ḿbá
share-out,gàb
regale,ḿbá
draw,éfá
wrench,ésa
off-white,kẅǐ
dividing up,gàb
puzzle out,fàʼ
prominent,máa
minuscule,kʉ́
moribund,kwè
dissipate,ésa
be clean,ésí
hold dear,fùʼ
amp,le-
buddy,fɛ́
tyre,kwò
admirer,agí
shriek,káb
shinbone,fʉ̌
bleeder,fàa
very fast,kǎd
baron,fùɔ
cram,kẅǐ
appreciation,gyě
collar,lóŋ
boastfully,máa
apportion,gàb
result,lwò
gas,éfa
lulu,jÿó
muddle,gem
soapbox,kèm
come from,éfó
stultification,fʉ̀
spillway,ésa
behind,jʉʼ
cover,ḿbá
flick,ffo
nail,lóŋ
corresponding,làa
isn’t it?,káa
sucking louse,fúɔ
also,mbǎ
mottle,lém
liberal,máa
that ... there,gẅi
knead,fàʼ
position,lǎg
bottom,jʉʼ
select,lìi
basket,kàg
care for,fùʼ
taro root,kǔʼ
nates,jʉʼ
field goal,kàg
taste perception,gyě
big,máa
bluster,éfa
select,lùa
flake,kùb
croak,lɔ̀
fornication,gàb
liveliness,lém
stress,cʉ̀
Pansa,ffó
tomorrow future,gÿo
tibia,fʉ̌
enceinte,máa
comparable,làa
rear,jʉʼ
poppycock,éfa
carry straddling the back,ḿba
choice,lìi
sharing,gàb
pop off,lɔ̀
drum,kẅǐ
constipation,fʉ̀
employment,fàʼ
road,lǎŋ
sense of taste,gyě
hoop,kàg
choice,lùa
weather condition,jʉʼ
make,lǎg
barque,gûg
exercise,fàʼ
how much?,láa
mouthful,gyě
mist,lém
hold up,lɔ̀
jumpiness,lóŋ
fanny,jʉʼ
change state,ésa
lecture,gág
puddle,lǎg
that one,gẅi
stomp,kèm
daub,lǎg
piss,lǎg
meander,éfá
nab,lóŋ
assortment,cùb
crook,ésa
riffle,ffo
cow,fòŋ
vainglorious,máa
obnubilate,lém
dejection,lʉŋ
Adam,lɔ̀
sour,ésa
black bean aphid,làŋ
weave,éfá
play,fàʼ
arm,fʉ́
notice,mâg
pulpit,kèm
osseous tissue,kẅǐ
shove,éfa
predilection,gyě
brave out,jʉʼ
disco biscuit,lɔ̀
spleen sickness,mbá
call up,ḿbá
invertebrate foot,kwò
thumb,ffo
honk,éfa
chat,gág
cop,lóŋ
influence,fàʼ
commixture,cùb
micturate,lǎg
form,fàʼ
old age,lÿò
cry,gwá
Al,jùa
valley,fúʼ
call on,ésa
sound of a big object falling into water,cǔm
pipage,káb
allow for,lwò
go,fàʼ
pair of scissors,gwà
process,fàʼ
cash in one's chips,lɔ̀
rear end,jʉʼ
icky,lʉ̌
call back,ḿbá
desquamation,kùb
nose candy,éfa
throw up,éfa
strong cold during times of fog,gém
piece of meat,kìm
taint,lém
try,gyě
grow,ésa
blow out,éfa
dainty,ḿbá
divvy up,gàb
Indian cholera,kǔa
egoist,kim
throne,leŋ
swelled,máa
BM,lʉŋ
topographic point,lǎg
sound of cloth ripping or rain beating down,gwâ
fecal matter,leŋ
regorge,éfa
sprightliness,lém
self-aggrandising,máa
commode,leŋ
bit,ésa
Asiatic cholera,kǔa
stern,jʉʼ
smudge,lǎg
adultery,gɛ́
conditions,jʉʼ
natter,gág
sass,kùb
purge,éfa
people,láʼ
too,mbǎ
very soft,cûu
disperse,ésa
tiller,lʉŋ
stain,lǎg
body of work,fàʼ
get,lɔ̀
upchuck,éfa
louse,fúɔ
leave behind,lwò
rebuke,gág
tube,káb
tension,cʉ̀
smear,lǎg
chuck,éfa
bollix,éfa
belittled,kʉ́
dethaw,ésí
adultery,gàb
get up,kẅǐ
purse,éfá
cetacean,fàa
block,éfa
emphasise,cʉ̀
stuff and nonsense,éfa
burn out,éfa
act upon,fàʼ
unwellness,guɔ
make for,fàʼ
go,lɔ̀
BM,leŋ
sloth,lǒŋ
take down,mâg
timber,lùɔ
berth,lǎg
post,lǎg
lead,lwò
scraper,kùa
buttocks,jʉʼ
tiller,leŋ
operate,fàʼ
modest,kʉ́
stare,cʉ̀
loanword,fùu
run low,lɔ̀
process,ḿbá
appreciate,fùʼ
gob,gem
crack,lɔ̀
mellow,ésí
chastity,kẅì
very clean,kâb
belong,lɔ̀
comparing,làa
sample,gyě
biting louse,fúɔ
A,le-
pass,lɔ̀
so,mbà
golf shot,léŋ
and so,mbà
change by reversal,ésa
timbre,lùɔ
touch,lǎg
clobber,éfa
engorge,éfa
entrust,lwò
shortage,cÿó
intermixture,cùb
drift,éfa
jitteriness,lóŋ
chitchat,gág
cristal,lɔ̀
pass on,lwò
hooey,éfa
pour forth,ésa
comrade,fɛ́
adenine,le-
barque,kùb
folio,ffo
commonplace,cʉ̀
promissory note,mâg
gustatory perception,gyě
aluminum,jùa
sp. ant,ffó
irregularity,fʉ̀
unusual,kʉ́
treasure,fùʼ
feather,ffo
bestow,éfu
masses,láʼ
workplace,fàʼ
operate,lɔ̀
swing out,léŋ
uncase,kùb
observe,mâg
crappy,lʉ̌
medical specialty,ffo
confabulate,gág
release,ésa
pee-pee,lǎg
prime,lùɔ
shell,káŋ
make,fàʼ
number,ésa
invest,jʉʼ
sound of a bell ringing,kéŋ
perceptiveness,gyě
coke,éfa
feces,lʉŋ
reverse,éfa
scour,éfa
pipe up,káb
depart,lɔ̀
tone,lém
melt,ésí
calibre,lìi
purify,éfa
foreign,kʉ́
put a tie on,éfá
make out,lǎg
posterior,jʉʼ
screw up,éfa
fade,ésí
celibacy,kẅì
function,fàʼ
calibre,lùa
ordure,lʉŋ
lug,éfa
dispel,ésa
float,éfa
search by following the tracks,ḿbá
adult,máa
angstrom unit,le-
taro,kǔʼ
booster,agí
round,ésa
muddle,lǎg
tenseness,cʉ̀
turn,ésa
recall,ḿbá
offer,lɔ̀
botch,éfa
obscure,lém
twist,ésa
circularise,ésa
pes,kwò
feces,leŋ
the great unwashed,láʼ
intellectual nourishment,kǔʼ
parting,lwò
note of hand,mâg
mishandle,éfa
farewell,lwò
call,gwá
jam,gem
dress down,gág
distribute,ésa
bone,kẅǐ
swot up,kẅǐ
mention,mâg
fix,gem
weather,jʉʼ
ordure,leŋ
ribbon,éfá
creditor,fùu
pick up,lóŋ
go game,lɔ̀
disseminate,ésa
tail end,jʉʼ
King,fùɔ
yack away,gág
speckle,lǎg
bodge,éfa
toilet,leŋ
hug drug,lɔ̀
look after,ḿbá
Billie Jean Moffitt King,fùɔ
give,lwò
swellhead,kim
do by,ḿbá
function,lɔ̀
chew up,gág
sexual abstention,kẅì
mould,fàʼ
mold,fàʼ
golf hole,gem
go blind,éfʉ
ichor,ffó
minor,kʉ́
blind person,fʉ̀
scrunch,éfá
throat,gág
shoot the breeze,gág
spleen,mbá
suppuration,ffó
bile,lẅè
ampere,le-
home base,káŋ
drop dead,lɔ̀
handle,ḿbá
espy,lǎg
pass away,lɔ̀
abandoned concession,fòm
take to task,gág
impairment,fʉ̀
lamp,lâm
reproof,gág
groundwork,kwò
be stupid,éfú
office,lǎg
baseball swing,léŋ
ass,jʉʼ
talk,ésa
short letter,mâg
pass water,lǎg
shed,ésa
for you,gẅi
disembodied spirit,lém
potpourri,cùb
impart,lwò
motley,cùb
cat,éfa
visit,gág
kettle of fish,gem
home,káŋ
grown,máa
exclaim,gwá
backtalk,kùb
Friend,ayí
live on,lɔ̀
become,lɔ̀
musical note,mâg
wind,éfá
retch,éfa
give-up the ghost,lɔ̀
character,lìi
extend,lɔ̀
care for,ḿbá
upwind,jʉʼ
admixture,cùb
citizenry,láʼ
bend,ésa
lip,kùb
travel,lɔ̀
expire,lɔ̀
character,lùa
raffia fibre,fǐŋ
choke,lɔ̀
run out,ésa
decayed,lʉ̌
reckon,ḿbá
search for,ḿbá
pare,kùb
squirrel,kàŋ
study,fàʼ
raffia seed,kúb
stool,lʉŋ
ruckle,éfá
eddo,kǔʼ
relieve oneself,lǎg
plant out,ḿbá
flavour,lém
pee,lǎg
egotist,kim
sweetheart,jÿó
blemish,lǎg
bring,éfu
irascibility,mbá
tycoon,fùɔ
wasteweir,ésa
taste sensation,gyě
propagate,ésa
tasting,gyě
quality,lìi
regurgitate,éfa
will,lwò
thrust,éfa
Brother,fɛ́
banker's bill,mâg
base,kwò
string,éfá
sound of something moving without giving notice,kìb
place,jʉʼ
crap,leŋ
leave,lwò
tour,lɔ̀
call down,gág
crop,fàʼ
stagnant,kwè
work out,fàʼ
stool,leŋ
guess,ḿbá
variety,cùb
sidekick,fɛ́
quality,lùa
brag,éfa
sp. tree that you can make jute from its bark,fàŋ
magnate,fùɔ
dog collar,lóŋ
cock-a-hoop,máa
Federal Reserve note,mâg
admirer,ayí
transfuse,gʉ̌
apprehend,lóŋ
scarf out,éfa
notation,mâg
believe,ḿbá
can,jʉʼ
masticate,gág
sleeve,lúʼ
cliche,cʉ̀
circularize,ésa
hoi polloi,láʼ
ne'er,laa
blood brother,fɛ́
shit,leŋ
move,lɔ̀
peel,kùb
protagonist,agí
overcast,lém
die,lɔ̀
rotten,lʉ̌
spill,ésa
haemophile,fàa
crisp,éfá
ambo,kèm
taking into custody,lóŋ
try,cʉ̀
vaunt,éfa
give way,lɔ̀
bromide,cʉ̀
keister,jʉʼ
act,fàʼ
maculation,lǎg
melt down,ésí
suck,éfa
yam plant,júʼ
shitty,lʉ̌
mouth,kùb
drop,léŋ
retrieve,ḿbá
acedia,lǒŋ
strong wind,fóm
cup,gʉ̌
neckband,lóŋ
brother,fɛ́
spell,lɔ̀
debone,kẅǐ
melting,ésí
dresser,kùb
Greenwich Village,láʼ
smell,lém
bragging,máa
sit,jʉʼ
swarm,lém
annotation,mâg
mug up,kẅǐ
lend,fùu
chew,gág
disgorge,ésa
pharynx,gág
fuck up,éfa
moo-cow,fòŋ
beauty,jÿó
bit,lǎg
bump,éfa
deal,ḿbá
business leader,fùɔ
make out,lóŋ
pass around,ésa
pick,kwò
cherish,fùʼ
intend,ḿbá
swinging,léŋ
sty,kab
hemophile,fàa
wreak,fàʼ
government note,mâg
sp. West African yam,cúa
swing music,léŋ
ferment,ésa
vacillation,léŋ
and then,mbà
photographic plate,káŋ
defecate,lʉŋ
never,laa
roof of the mouth,gág
overindulge,éfa
mark,mâg
rotted,lʉ̌
pus,ffó
good turn,ésa
last,lɔ̀
remark,mâg
shove off,éfa
Ha,Ɛ̂ɛ
bollocks,éfa
faeces,lʉŋ
scream,gwá
visitor to sick people,fòŋ
tobacco pipe,káb
emphasis,cʉ̀
seat,jʉʼ
small town,láʼ
treat,ḿbá
wrick,ésa
low,kʉ́
top executive,fùɔ
caliber,lùɔ
discern,lǎg
defecate,leŋ
dish out,jÿó
indolence,lǒŋ
catch,lóŋ
material,éfa
scatter,ésa
fleck,lǎg
punctuate,cʉ̀
lien,mbá
disrobe,kùb
foliage,ffo
disappear,ésí
compare,làa
chide,gág
medication,ffo
arse,jʉʼ
faeces,leŋ
contribute,éfu
information source,líɛ
piping,káb
crustal plate,káŋ
survive,lɔ̀
leg it,kwò
discase,kùb
friend,agí
podium,kèm
pigpen,kab
maw,gem
dishful,jÿó
lambast,gág
flavor,lém
latrine,kwɛ
lowly,kʉ́
fail,lɔ̀
potty,lʉŋ
satiate,éfa
barrier,kʉŋ
scale,káŋ
crumple,éfá
evaporate,ésí
black eye,éfa
hamlet,láʼ
flake off,kùb
break,lɔ̀
very distant future,láʼ
mess,gem
likewise,mbǎ
induct,jʉʼ
puke,éfa
goody,ḿbá
solve,fàʼ
edda,kǔʼ
broadcast,ésa
blazon out,gwá
dissolve,ésí
make,lʉŋ
calibre,lùɔ
cloud,lém
take note,mâg
flip,ffo
smasher,jÿó
strip,kùb
piddle,lǎg
deoxyadenosine monophosphate,le-
brim,kùb
cultivate,fàʼ
bad,máa
then,mbà
potty,leŋ
dapple,lǎg
break up,ésa
sour,fàʼ
become blind,éfʉ
timber,lìi
bring,fàʼ
tout,éfa
squeeze,éfa
call out,gwá
pip,lǎg
vomit,éfa
cupful,gʉ̌
blow,éfa
ember,kyé
cocoyam,kǔʼ
foot up,kwò
foundation,kwò
patch,lǎg
forget,lwò
emphasize,cʉ̀
timber,lùa
shout out,gwá
food for thought,kǔʼ
gravid,máa
square,ffo
depart,lwò
jaw,gág
go bad,lɔ̀
bollocks up,éfa
accent,cʉ̀
swing,léŋ
bollix up,éfa
sanies,ffó
scrunch up,éfá
battle cry,gwá
plume,ffo
outcry,gwá
Billie Jean King,fùɔ
standard-winged nightjar,kwó
purging,éfa
partake in,gàb
king,fùɔ
gustatory sensation,gyě
atmospheric condition,jʉʼ
be foolish,éfú
dot,ésa
pickle,gem
vomit up,éfa
strange,kʉ́
fully grown,máa
coal,kyé
timbre,lìi
wee,lǎg
world-beater,fùɔ
Tyre,kwò
male monarch,fùɔ
infantry,kwò
barf,éfa
diffuse,ésa
banality,cʉ̀
settlement,láʼ
taste,gyě
shove along,éfa
peeling,kùb
already,láʼ
shrill,káb
miscellanea,cùb
timbre,lùa
mellow out,ésí
Quaker,agí
very fast,fím
distinction,mâg
rim,kùb
pal,fɛ́
wee-wee,lǎg
sleeve,fʉ́
sound of air moving,jÿâ
pool,lǎg
container,kùu
gustatory modality,gyě
os,kẅǐ
shedding,kùb
address,ḿbá
gall,lẅè
deform,ésa
acquaintance,ayí
Pu,ffó
corrupt,lém
intent,lém
urinate,lǎg
restiveness,lóŋ
prime,lìi
leash,lóŋ
dejection,leŋ
recognise,lǎg
take a leak,lǎg
plutonium,ffó
note,mâg
brave,jʉʼ
yam,júʼ
yap away,gág
shoot a line,éfa
prime,lùa
chum,fɛ́
chew the fat,gág
spillage,ésa
basketful,kàg
concoction,cùb
bag,jÿó
start,lɔ̀
rallying cry,gwá
very fast,gǎd
share,gàb
ca-ca,lʉŋ
atomic number 94,ffó
spue,éfa
rump,jʉʼ
vociferation,gwá
stinking,lʉ̌
crinkle,éfá
festering,ffó
tell apart,lǎg
power,fùɔ
a,le-
serve up,jÿó
small,kʉ́
hole out,gem
like,làa
jive,léŋ
add,éfu
gourmandize,éfa
act,ésa
trap,gem
gormandize,éfa
Friend,agí
reversal,éfa
hold out,lɔ̀
ca-ca,leŋ
piece of work,fàʼ
sanctify,éfa
squall,gwá
steel,gwà
bumble,éfa
stinky,lʉ̌
old place,fòm
shock,éfa
substructure,kwò
animal foot,kwò
spotlight,lǎg
plow,ésa
cup of tea,jÿó
thread,éfá
cetacean mammal,fàa
yarn,éfá
get out,lwò
try out,gyě
take a crap,lʉŋ
very calm,kěm
organ pipe,káb
fumble,éfa
decease,lɔ̀
bank note,mâg
golf stroke,léŋ
practice of medicine,ffo
yesterday,jǔɔ
bungle,éfa
gasconade,éfa
smirch,lǎg
sound,lɔ̀
bawl out,gág
nervousness,lóŋ
kick the bucket,lɔ̀
neck opening,lóŋ
bum,jʉʼ
tone,mâg
whirl,lɔ̀
accentuate,cʉ̀
hemophiliac,fàa
squander,éfa
take a crap,leŋ
can,lʉŋ
ingurgitate,éfa
affiliation,lǔŋ
routine,ésa
skin,gûg
thaw,ésí
supporter,agí
dental plate,káŋ
go forth,lwò
envenom,liʼ
mass,láʼ
turn,fàʼ
ecstasy,lɔ̀
slop,ésa
serve,jÿó
Pus,ffó
eminence,mâg
prat,jʉʼ
denture,káŋ
dirt ball,fúɔ
recollect,ḿbá
can,leŋ
fornication,gɛ́
run,fàʼ
dish,jÿó
opine,ḿbá
hoarded wealth,fùʼ
stamp,kèm
exit,lɔ̀
lend,éfu
hole,gem
prize,lùɔ
basketball hoop,kàg
rumple,éfá
stump,kèm
home plate,káŋ
not,kaa
something found,fùʼ
splatter,ésa
kickshaw,ḿbá
apprehension,lóŋ
ravisher,jÿó
coffin,kùb
fledge,ffo
tie-up,lǔŋ
gorge,éfa
shout,gwá
chatter,gág
flex,ésa
turn,lɔ̀
fluff,éfa
insect,fúɔ
circulate,ésa
move around,ésa
train of thought,éfá
be blind,éfʉ
glut,éfa
discernment,gyě
louse up,éfa
medicinal drug,ffo
very dirty,kúd
epidemic cholera,kǔa
pipe,káb
descry,lǎg
make water,lǎg
cast,éfa
run,lɔ̀
muck up,éfa
lineament,lùɔ
foul up,éfa
furrow,éfá
tone,lùɔ
dasheen,kǔʼ
connexion,lǔŋ
delicacy,ḿbá
bequeath,lwò
protagonist,ayí
waste,éfa
aluminium,jùa
peel off,kùb
ally,ayí
Martin Luther King Jr.,fùɔ
pull up stakes,lwò
billet,lǎg
chest,kùb
choker,lóŋ
worm,fúɔ
char,kyé
chit-chat,gág
fellate,éfa
rostrum,kèm
short temper,mbá
blot,lǎg
manducate,gág
loan,fùu
chew out,gág
backside,jʉʼ
inspirit,lém
vauntingly,máa
bountiful,máa
strewing,ésa
live,lɔ̀
go away,lɔ̀
preeminence,mâg
dry season,lùm
throne,lʉŋ
banknote,mâg
great,máa
be messy,ésa
crease,éfá
equivalence,làa
food,kǔʼ
brand,gwà
breast,kùb
lambaste,gág
fecal matter,lʉŋ
multitude,láʼ
metrical unit,kwò
commode,lʉŋ
choke up,éfa
holler,gwá
association,lǔŋ
grownup,máa
hoof,kwò
medicate,ffo
scold,gág
champion,ayí
tumble,ésa
braggart,máa
infertility,kǐŋ
intermediation,kěm
play,ésa
boastful,máa
bobble,éfa
little,kʉ́
queen,fùɔ
swash,éfa
as well,mbǎ
arrest,lóŋ
nerves,lóŋ
cervix,lóŋ
knockout,jÿó
perish,lɔ̀
spread out,ésa
crowing,máa
neck,lóŋ
cut,léŋ
snuff it,lɔ̀
pick out,lǎg
angstrom,le-
lick,fàʼ
reverse,ésa
one who slips into something,fàa
fall,ésa
connection,lǔŋ
sound of a heavy load,bîb
sp. ant,lÿó
humble,kʉ́
mixing,cùb
C,éfa
select,lùɔ
spend a penny,lǎg
skin,kùb
war cry,gwá
muff,éfa
sterility,kǐŋ
tomorrow,jǔɔ
greenback,mâg
peach,jÿó
plate,káŋ
metrical foot,kwò
smorgasbord,cùb
go,ésa
riff,ffo
mixture,cùb
purport,lém
focus,cʉ̀
freehanded,máa
comparison,làa
choice,lùɔ
leave alone,lwò
hindquarters,jʉʼ
rag,gág
sound of an instrument buried in a moist body,fùb
get around,léŋ
sp. squirrel,lèŋ
giving,máa
boast,éfa
blend,lɔ̀
spot,lǎg
fundament,kwò
spy,lǎg
hollo,gwá
famine,cÿó
sweep,léŋ
saucer,jÿó
unclothe,kùb
berate,gág
cerebrate,ḿbá
line,éfá
communion,gàb
overgorge,éfa
ball up,éfa
caliber,lìi
work,fàʼ
bighearted,máa
remember,ḿbá
bill,mâg
bounteous,máa
friend,ayí
caliber,lùa
mantrap,jÿó
feeling,lém
tire,kwò
trounce,gág
Riley B King,fùɔ
atomic number 13,jùa
claver,gág
befog,lém
place,lǎg
Rex,fùɔ
deadening,fʉ̀
isn’t it?,élé
situation,lǎg
Village,láʼ
mixed bag,cùb
quarter of beef,kìb
mogul,fùɔ
sprinkle,ésa
dais,kèm
aiele sap,lìi
prize,fùʼ
sprain,ésa
yell,gwá
give out,lɔ̀
spirit up,lém
run short,lɔ̀
shape,fàʼ
tooshie,jʉʼ
feel,lém
buy the farm,lɔ̀
forge,fàʼ
acquaintance,agí
sway,léŋ
work,lɔ̀
ferment,fàʼ
butt,jʉʼ
magnanimous,máa
billet,mâg
watchword,gwá
bark,gûg
dapple,lém
route,lǎŋ
yack,gág
becloud,lém
pot,lʉŋ
antiophthalmic factor,le-
expectant,máa
wander,éfá
derriere,jʉʼ
unknown,kʉ́
plant louse,fúɔ
gossip,gág
dust,ésa
poisonous substance,liʼ
openhanded,máa
sp. tree,gẅà
do work,fàʼ
exploit,fàʼ
lousy,lʉ̌
stunner,jÿó
braggy,máa
vane,gwà
heavy,máa
casket,kùb
toilet,lʉŋ
leaf blade,gwà
impart,éfu
rattle on,gág
besides,mbǎ
plumage,ffo
egocentric,kim
stuff,éfa
shin,fʉ̌
recognize,lǎg
collection plate,káŋ
pot,leŋ
tree stump,kèm
undress,kùb
roadblock,kʉŋ
spread,ésa
vale,fúʼ
haze over,lém
meld,ésí
X,lɔ̀
chest of drawers,kùb
Quaker,ayí
solid food,kǔʼ
get going,lɔ̀
flub,éfa
leaf,ffo
blast,éfa
faecal matter,lʉŋ
leafage,ffo
addle,lǎg
hoof it,kwò
yap,gem
smack,gyě
spew,éfa
sp. tree,gwà
bone up,kẅǐ
break down,lɔ̀
fundament,jʉʼ
allow,lwò
reprimand,gág
that one there,gẅi
part of the thorax,gáŋ
point,lǎg
gem,fùʼ
gaze,cʉ̀
medicine,ffo
tie,lǔŋ
one-half,háb
ft,kwò
Martin Luther King,fùɔ
farce,éfa
plump,lɔ̀
XTC,lɔ̀
faecal matter,leŋ
deal,gàb
B. B. King,fùɔ
bank bill,mâg
self-aggrandizing,máa
big businessman,fùɔ
non,kaa
