en,ngiemboon
stare,cʉ̀
banality,cʉ̀
necklace,cʉ̀a
He wears a new necklace on his neck.,À jÿɔʼɔ cʉ̀a sẅé lóŋ yé.
delicate problem,cʉa nò
red-leaved fig,cʉ̀a nzsó
God,Cʉ̀apʉ̀a
god,Cʉ̀apʉ̀a
rat (generic),cʉ̀cʉ̀a
kid; very small child,cʉ̀cʉ̀ŋ
childish behaviour,cʉ̀cʉ̀ŋ
movement,cʉ̀cʉ̀ʼ
sp. insect,cʉ̀cÿò
k. sickness,cʉ̀cÿò
sp. black or brown mosquito,cʉ́cÿɔ́d
caterpillar (generic),cʉ̀cÿɔ̀gɔ
tiny black caterpillar that eats coffee leaves,cʉ̀cÿɔ̀gɔ kaafé
borer,cʉ̀cÿɔ̀gɔ lefaŋ
caddisfly,cʉ̀cÿɔ̀gɔ mentÿo
sp. caterpillar,cʉ̀cÿɔ̀gɔ ngesáŋ
depot; warehouse (where one leaves things),cʉ̀me
detonation; explosion,cʉ̀me ngyè
very acidic,cʉ́ŋ
Its orange is very acidic.,Lámásè we cÿɔ̌g lê cʉ́ŋ.
double-dealer; disappointing; double-dealer,cʉŋ nzẅìŋ
stain,cʉŋ nzẅìŋ
Having sexual relations with your brother's wife is a serious defilement.,"Lenuŋe nzwě fɛ̌ gù, á kwàʼ cʉ̀ŋe nzẅìŋ."
waste,cʉ̀ŋe nkáb
Funeral ceremonies are really a waste.,"Legwé nziŋte ziŋté, áa kwàʼ cʉ̀ŋe nkáb."
from behind; after,cʉ́ʼ
"From behind, keep a close eye on the children.",Cʉ́ʼ ńdíe penkʉ́ mboŋó.
second-hand clothes,cʉ̀ʼ
very bitter,cʉ̂ʼ
The remedy is very bitter like Vernonia.,Affo ŋwɛ́ lẅe lê cʉ̂ʼ páʼ mekáŋ la.
tilapia,cʉ́ʼ múɔ lyé
thanks,cʉ́ʼ pɛ́ʼɛ̀
no longer,cʉ̀ʼʉ
Don't do this anymore.,Cʉ̀ʼʉ ńgÿo mmó yɛ̀.
no longer,cʉ́ʼʉ ... wɔ́
That bag is no longer outside.,Apɔ̀ɔn ya cʉ́ʼʉ pǐ wɔ́.
second-hand clothes,cʉ̀ʼʉmáʼ
one of eight days of the traditional week,cʉ̀ʼʉnzàʼa
very bad,cwóŋ
This trash can smells very bad.,Legwaʼá kʉŋe sɔɔn leme lê cwóŋ.
pile,cwóŋ
reminder,cwoŋo njúʼ
"We have spoken until now, we are on recall.","Mé shwǒŋ tà mé ée fʉ̀ʼɔɔn, ńgwɔ́ tsɛ̀ɛ cwoŋo ńjúʼ."
sound of a machete cutting into something,cyág
The machete cut the roof that “cyág”.,Nně zaʼá tépwó we lê cyág.
sound of glass objects falling,cÿáŋaláŋláŋ
The bottles fell and sounded like “cӱáŋaláŋláŋ”.,"Mencʉ́ŋ gwě, ńgye lê cӱáŋaláŋláŋ."
concussion balls,cÿáŋcÿáŋ
sound of frying,cÿâʼ
"I fried the oil, added water and it made “cÿâʼ”.","N kǎŋ mèvɛ, ńkẅiʼi ntse mǒ, é gÿo lê cÿâʼ."
famine,cÿó
gift; grace,cÿó gʉm
foundation,cÿó ndá
gutter,cÿòon
pickaxe,cÿɔ́b
scabies; mange,cÿɔ̀b
poison,cÿɔ̀b
fetish,cÿɔ̀b
discussion; discord,cÿɔ́g
gums,cÿɔ́g
hardened (yam),cÿɔ̀gɔ
lie,cÿɔ̌nò
church,cÿɔ́ɔsè
servant,cÿɔ́ʼ
hat; hair style,cÿɔ̀ʼ
fear,cÿɔ̀ʼ
Fear is not good.,Ecÿɔ̀ʼ té poŋ.
ear lobe,cÿɔ́ʼ letuŋó
"You persist again, I will cut off your earlobe.","Ɔ̀ ge gíŋe tʉʉ twó, e syé cÿɔ́ʼ letuŋó gù."
valet; servant,cÿɔ́ʼ ntɔ́ʼ
angle,cÿɔ́ʼ Ssé
valet; king’s servant,cÿɔ́ʼfùɔ
k. hat,cÿɔ̀ʼɔ cʉ́ŋ
k. hat,cÿɔ̀ʼɔ kùbe ncwò
k. hat,cÿɔ̀ʼɔ kwaanzeennzse
k. hat with a large brim,cÿɔ̀ʼɔ legwóŋ
k. hat,cÿɔ̀ʼɔ mbúm
k. white hat,cÿɔ̀ʼɔ melʉ́a
k. hat,cÿɔ̀ʼɔ melÿò
k. hat,cÿɔ̀ʼɔ mendóŋ
k. hat,cÿɔ̀ʼɔ menzóŋ
k. hat,cÿɔ̀ʼɔ njùʼ mentÿǒngúm
k. hat,cÿɔ̀ʼɔ shʉ́azí
k. hat for chiefs,cÿɔ̀ʼɔ sí mefùɔ
k. hat,cÿɔ̀ʼɔ sí meŋwáláʼ
k. hat,cÿɔ̀ʼɔ ssénkàg
k. hat,cÿɔ̀ʼɔ ssénkàg mendoŋ
star,cÿɔ́ʼsaŋ
I,e
he; she (subject pronoun for class 9),e
some,e-
bags.,"epɔ̀ɔn,"
he; she (subject pronoun for classes 3 and 5),é
"they (subject pronoun for classes 2, 4, 6, 8 and 10)",é
"The people who came to this house, where did they come from?","Epʉ̀a pie é tǒ mbʉ̀a wɔɔn, é fóo lê nzɔ̌?"
to (+verb),é-
count.,"ésáŋ,"
he; they (same subject as the preceding clause),é-
Come take the money and count it.,"Tóo ḿbí nkáb, ésáŋ."
"(realis mood, imperfective aspect); really",é-
today past;,é-
in a few days; soon,é cʉ̂ʼ lyɛ̌ʼ shÿɔ́ʼɔ tsɔ́ wɔ́
In a few days we will start eating fresh corn.,É cʉ́ʼ lyɛ̌ʼ shÿɔ́ʼɔ tsɔ́ wɔ́ me zye lépfɛ́ ngesáŋ sẅé.
it’s (subject pronoun for class 9 for clauses without verbs),ee
This is my house.,"Yɔɔn, ee mbʉ̀a yɔ̀ɔn."
it’s (subject pronoun for classes 3 and 5 for clauses without verbs); they’re (subject pronoun for the plural classes for clauses without verbs),ée
Who owns the field? It's ours.,Nkáʼ ée we wɔ́? Ée wég.
(cry of surprise regarding an oversight),ěen
no (marking negation),éen èen
Will you eat pork meat? Oh yeah!,Ɔ̀ ge pfɛ́ mbab kúnɔ̀ɔn? Éen èen!
yes ... (affirmative response to negative question),éen héen
Are we not going to leave? If !,Pɔgɔ te gʉa wɔ́ ka? Éen héen!
blow,éfa
purge,éfa
stuff,éfa
put a tie on,éfá
wrinkle,éfá
thread,éfá
detach; untie,éfag
separate,éfag
break away,éfag
turn,éfag
bifurcate,éfag
divide,éfag
"be large, be big",éfáŋ
increase in volume,éfáŋ
boast,éfáŋ
mix; vary,éfaŋte
mix; blend,éfaŋte
mistreat,éfáte
work,éfaʼ
search for,éfaʼ
attack,éfaʼte
miss,éfée
be light,éfege
be weak,éfege
stupid,éfege
separate; split up,éfege
make it come out of the mouth,éfége
differentiate,éfegte
separate,éfegte
succeed; be free of ignorance,éfele
stumble,éfeŋe
cross; fold; intersect; pass each other,éféŋe
fill up; bury,éffo
keep kola underground,éffo
drizzle,éffote
take off; flee,éfím
sell,éfiŋ
skin; strip,éfiŋ
come from,éfó
drive in,éfom
rot; go mouldy,éfom
stifle,éfóm
He suffocated the animal in the corner of the field.,À fomó nɔ̀ɔn lezẅé nkáʼ.
choke,éfóm
The child suffocated in the smoke.,Múɔ fomó tsɛ̀ɛ ndyé.
close,éfóm
close tightly,éfóm
be dirty,éfomo
be proud,éfómte
be bushy,éfoŋ
scribble,éfoŋ
inform,éfóŋ
visit someone sick,éfóŋ
keep cola in a basket; store cola in a basket,éfoo lepfo
have oedema and bloated stomach,éfɔb
have edema and bloated stomach,éfɔb
put less oil on the food,éfɔb
fail; bend; distort,éfɔ́d
be white,éfɔ́g
whiten,éfɔ́g
The sun has bleached his clothes.,Nèm fɔgé nzsǒ ye.
be white,éfɔ́g
spray; sprinkle; pulverise; grind; crush,éfɔ́ɔn
He will spray the grass with herbicide.,À ge fɔɔn legǐ lé ffo legǐ.
at last; finally,éfɔ́ɔn
"He has come, they are finally going to leave.","À tǒ, pɔ́ ge fɔ́ɔn gʉa."
lend; borrow,éfu
be stupid; be foolish,éfú
approach; touch lightly; brush against; approach,éfúa
Don't go near the fire.,Te fúa mmɔ̌g.
touch lightly; brush,éfúa
Don't act like that until you brush against me.,Pɔ́ɔn légÿo pɛ́ʼɛ tà fúate wɔ́ɔn.
brush against,éfúɔfuɔ
be lucky,éfuʼ
foam; lather,éfuʼ
boil,éfúʼ
be bushy,éfúʼ
be bushy,éfúʼ
"rise (smoke, dust)",éfúʼ
be starchy,éfuʼe
be blind; become blind,éfʉ
be blind; go blind,éfʉ
talk nonsense; slide; slip,éfʉa
He sang until he burst out.,À zɔ̌b ntse tà fʉa.
dismantle; skid,éfʉa
open greatly,éfʉa
open wide,éfʉa
make a mistake; sin; err,éfʉa
He took the wrong route.,À fʉ̌a mánzsè.
sin,éfʉa
point (buttock); fold over,éfʉ́e
repatriate,éfʉ́le
intertwine,éfʉŋe
cross; fold; intersect; pass each other,éfʉ́ŋe
separate; move apart,éfʉ́ŋte
deceive,éfʉte
be excessively big,éfʉ́te
exaggerate,éfʉʼ
measure,éfʉʼ
weigh,éfʉʼ
measure,éfʉʼ
try; imitate,éfʉʼʉ
try several times,éfʉʼʉ
rapidly,éfʉ́ʼʉ
The child came quickly when called.,"À toŋó múɔ, á fʉ́ʼʉ ńtó."
keep,éfwoon
dig up,éfwɔʼ
dig up from time to time,éfwɔʼ
spill,éfwɔʼ
pour out,éfwɔʼ
become poorer,éfÿag
blow,éfÿág
blow your nose,éfÿág
take a siesta; dream,éfÿe
lose interest in; act busy,éfÿée
pretend not to see,éfÿéen
recreate; amuse,éfÿéente nÿɔ́g
fatten; fatten up; grow fat,éfÿɛ́
emancipate; liberate,éfÿɛ́
remove; withdraw,éfÿɔ́g
isn’t it?,élé
"You didn't see it, did you?",Ɔ̀ kaa yé gyá élé?
disperse,ésa
spill,ésa
be messy,ésa
scatter,ésa
turn; balance,ésa
spill,ésa
pirouette,ésa
turn ; twirl,ésa
counterfeit; forge,ésa shÿó
counterfeit,ésa shÿó
sell separately,ésab
cut into several piles,ésab
desire,ésáb
be able,ésáb
be long,ésag
be deep,ésag
cite; quote,ésag
divert,ésaŋ
fail at getting engaged,ésaŋ
break the engagement,ésaŋ
scatter,ésaŋ
scatter,ésaŋ
dry something out,ésaŋ
dry by spreading,ésaŋ
count,ésáŋ
deliberate,ésáŋ
pull out,ésaʼ
share without reservation,ésaʼ
command,ésáʼ
judge,ésáʼ
germinate; grow; appear,ésáʼ
appear slightly (liquid or plant),ésáʼ
tax,ésáʼ
make known,ésáʼ
so much; excessively,éséen
You have delayed so much.,Pi sěen ńdáte.
turn,ésele
be transformed,ésele
make an effort,ésem
strive,ésem
tighten,ésem
be tight,ésem
beat up; hit strongly,ésem
be huge,éseŋe
stretch; rejoice,éseŋe
cheer up,éséŋe
"Stop frowning, cheer up.","Pɔ́ɔn légíŋe ńkwɛ́ shÿó gù, séŋe mbùm jù."
provoke; cause; create,éséʼe
mask,éshu
go below; walk around,éshú
sneak,éshú
weed,éshú
rejuvenate oneself; renew,éshumo
show oneself,éshuʼ
This girl shows off a little too much.,Múɔ manzwě wɔɔn naʼá shuʼ tɛʼ.
be bushy,éshúʼ
be bushy,éshúʼ
shudder; shiver,éshúʼte
be tense; be on edge,éshúʼte
saw,éshʉ́
castrate,éshʉ́
saw,éshʉ́
cut out; slice,éshʉ́
make,éshʉ́
split; tear,éshʉa
shred,éshʉa
break,éshʉ́a
situate,éshʉ́a
hatch,éshʉ́a
lie,éshʉ́a
divide,éshʉ́a
increase; grow,éshʉ́a
grow,éshʉ́a
do it openly,éshʉashʉa
blow up; inflate,éshʉge
tumefy; swell,éshʉge
drive in,éshʉ́ge
Stick your hand in my pocket to remove the key.,"Shʉ́ge pwó jú pɔ̀ɔn mèŋ, ńkẅele kí."
introduce,éshʉ́ge
envy,éshʉ́m
smooth; roughcast; plaster,éshʉŋ
smooth,éshʉŋ
tremble; shake; shudder; shiver,éshʉ́ŋ
perforate,éshʉʼ
drill small holes,éshʉʼ
rub,éshʉ́ʼʉ
wrinkle in the hand,éshʉ́ʼʉ
fail,éshwo
pull,éshwoŋ
tug,éshwoŋ
be pregnant,éshwoŋ
be pregnant,éshwoŋ
drive,éshwoŋ
train,éshwoŋ
say; inform,éshwóŋ
cause; talk,éshwóŋ
talk to each other,éshwóŋ
dialogue,éshwóŋ
chatter; split on; squeal on; murmur,éshwóŋte
move a great bulk,éshÿée
do openly,éshÿée
burn oneself; waste away,éshÿó
to burn,éshÿó
boast; brag,éshÿó
boast,éshÿó
be very fond of,éshÿoon
put on weight disproportionately,éshÿɔ́bte
support; be courageous; be brave,éshÿɔg
stick; put; drive in; push in,éshÿɔ́g
push iteratively,éshÿɔ́g
"to wear (trousers, clothes)",éshÿɔ́g
crush; grind; lightly crush,éshÿɔ́ʼ
eat without fear,éshÿɔ́ʼ
be clean,ésí
melt; dissolve,ésí
boast; brag,ési nnɛ́
carefully oil,ésibe
light up less; glow,ésie
thank,ésíe
He will thank me as I saw his key.,À ge síe wɔ́ɔn páʼ n gyǎ kí we.
dismember; debit; sell,ésiɛ
to cut up; debit,ésiɛ
open; extirpate; eradicate,ésiɛ
tear; rip,ésiɛ
open your eyes widely,ésiɛ
control; inspect; verify,ésíɛ
check ; inspect,ésíɛ
lie fallow,ésíɛ
sense,ésíg
feel,ésíg
to feel,ésíg
save,ésíle
pinch,ésíle
massage,ésiŋ
to sort out,ésiŋ
pull,ésiŋ
stretch,ésiŋ
extend ; lie down,ésiŋ
draw up; extend ; expand,ésiŋ
blacken,ésíŋ
correct,ésiŋte
begin; start; commence,ésíʼi
appear,ésíʼte
draw off,ésoŋ
steal,ésoŋ
stamp; bat an eyelid,ésóon
inject,ésɔb
sting; bite,ésɔb
stab,ésɔb
transplant,ésɔb
reinject,ésɔb
picket,ésɔb
kill each other,ésɔb
stab,ésɔb
be rough,ésɔbte
wash,ésɔg
erect; stretch out; widen,ésɔgɔ
set upright; correct; grade,ésɔgɔ
flower,ésɔɔn
discard; expand,ésɔɔn
not have one’s part when things are shared out; lose; fail,ésɔ́ɔn
load too much (plate of food),ésɔʼ
raise,ésɔʼ
perform a miracle,ésɔʼ
fart,ésso
suffer; feel,éssó
tease,éssóte
enjoy oneself,éssóte
crease,éswáʼte
Do not crease clothes before wearing.,Te swáʼte menzsǒ tá ḿmaʼ.
rinse,ésẅag
wash lightly,ésẅag
make a sauce with less seasoning,ésẅag
singe,ésẅág
He flambéed the banana leaf badly.,À sẅagá ffo ngwoon tépoŋ.
purify,ésẅág
He was purified when he stole a poisoned thing.,"Mé cÿɔb mmó, á jʉ. Mé sẅága yé."
quench your thirst,ésẅág
escape from shame; take revenge for an insult,ésẅag shʉ
have too much water; dilute too much,ésẅaga
The couscous sauce has too much water.,Nnáʼ mesaŋá sẅagá.
cover; stuff with straw,ésẅe
refuse something to someone,ésẅe
get loose; loose oneself,ésẅe
be cold; cool off,ésẅé
become cold,ésẅé
look alike; look like,ésẅé
look like ; look alike,ésẅé
"be speechless out of shame, after being denounced; have goosepimples",ésẅé
bless,ésẅéen
tickle; caress; brush against,ésẅete
get one’s health back; recover one’s health,ésẅéte
make something go down,ésẅéʼe
kiss,ésẅéʼe
eat,ésẅéʼe
The child ate a ball of couscous alone.,Múɔ sẅeʼé lepuʼú mesaŋá gílé yé.
undress; take clothes off,ésẅɛ
molt,ésẅɛ
raise an animal,ésẅɛ
kill by occult means,ésẅɛ
He killed his son secretly.,À sẅɛ̌ míŋ we na shʉ̀a.
oppress,ésẅɛ́
stifle,ésẅɛ́
do the combination,ésẅɛ́
grip; squeeze; tighten,ésẅɛ́
pin on; catch; nab; pinch,ésẅɛb
mount,ésẅɛ́bte
divert; embezzle,ésẅɛ́bte
be pressed; hurry; dispatch,ésẅɛte
celebrate; do sacrifices,ésẅɛʼ
go down,ésẅɛ́ʼ
move; move back,ésẅɛʼte
insert; drive in,ésẅi
insert,ésẅi
aggravate; irritate,ésẅi
get irritated,ésẅi
Don't irritate me.,Te sẅite lóŋ wɔ̀ɔn.
poll,ésẅi
probe; gauge,ésẅi
lick with a finger,ésẅí
drink (wine),ésẅí
suck,ésẅí
take in,ésẅí
grip; squeeze; tighten,ésẅíbe
throw very far,ésẅíe
suck,ésẅíe
be ahead of,ésẅige
He beat me to it.,À sẅigé ńgʉa ńnyé wɔ́ɔn.
burn (pepper in mouth),ésẅíge
deny,ésẅíge
be ugly,ésẅile
accuse; have a grudge against,ésẅile
"If you ask and he doesn't give you, don't blame him.","Ɔ̀ lɔɔn ńdúɔ, à te ná, te sẅile yé."
skin; scratch,ésẅiŋ
skin; scratch iteratively,ésẅiŋ
sell,ésẅiŋ
supply; beg; pray to,ésẅíŋte
metamorphose,ésẅiʼ
go down,ésẅíʼi
rebuild,ésẅíʼi
corner,ésẅíʼte
insist,ésẅíʼte
"defoliate; remove the husk (ear of corn, bean pod)",ésyag
hit,ésyag
whip; hit,ésyag
glide; slip,ésye
install a bamboo ceiling,ésye
cut; slice,ésyé
prune; trim,ésyé
deceive; divert; embezzle,ésyé
disappear; clear,ésyeen
disperse (crowd),ésyeen
get into problems,ésyeen
comb,ésyɛb
show oneself,ésyɛ́b
whip,ésyɛ́ʼ
hit with a very weak stick,ésyɛ́ʼ
whip,ésyɛ́ʼ
hit with a very weak stick,ésyɛ́ʼ
lance; make an incision,ésyɛ́ʼ
clear a field,ésyɛ́ʼ
Madam is going to clean the field.,Mɔ̌ɔn gee syɛ́ʼɛ nɔ̀ɔn.
clean a taro tuber,ésyɛ́ʼ
come out in small droplets,ésyɛ́ʼte
"certain; other (modifying class 2, 3, 4, 5, 6, 8 and 10 nouns)",etsɔ́
Some people came to the chiefdom to arrest the king.,Etsɔ́ pʉ̀a tǒo nɔʼ ńgwoon fùɔ.
"certain; other (modifying class 2, 3, 4, 5, 6, 8 and 10 nouns)",etsɔ́
certain; other (modifying class 9 nouns),etsɔ̌
A certain year is not good.,Etsɔ̌ ngùʼu láʼ e tè poŋ.
certain; other (modifying class 9 nouns),etsɔ̌
"You saw one person, another is missing.","Ɔ̀ gyǎ tàʼ nyìŋ, à cʉ́ʼʉ tsɔ̌."
(shows a displeasing event),ɛ̌ ɛ̌
Ah! That child did so well that he insulted me.,Ɛ̌ ɛ̌! múɔ wa gÿǒ tà ńzoonte wɔ́ɔn.
(showing simplicity),ɛ̀ɛ
"Ah, what's that worth?",Ɛ̀ɛ! Páʼ yɛ áa pɛ́ʼɛ̀ kuʼu kɔ́?
(shows a displeasing event),ɛ̂ɛ
Ha! That’s what it is!,Ɛ̂ɛ! Páʼ yɛ̂ áa pɛ́ʼɛ̀ ńkuʼu na kɔ́!
(cry of surprise regarding an oversight),ɛ̌ɛn
Who are you insulting? Eh !,Ɔ̀ zoonte wɔ́? Ɛ̌ɛn!
flint; material that helps light a fire,fà
one who slips into something,fàa
bleeder,fàa
blower,fàa
sect,fàg nnɛ́
separatist,fàg nnɛ́
separation; dispersion,fàgte
priest,fálà
lounge; sitting room,fala nda
Friday,faládê
flour,falîne
Pharisee,falísay
sp. tree that you can make jute from its bark,fàŋ
work,fàʼ
worker,fàʼa
research,faʼá nò
researcher,fàʼa nò
cold; flu,fáʼtè
lie,fèbe
wind,fèfà
executioner,fèffò
white,féfɔ́gɔ
sp. white bean,féfɔ́gɔ mekú
Western reef egret,féfɔ́gɔ ncùm
sp. white maize,féfɔ́gɔ ngesáŋ
white pepper,féfɔ́gɔ̀ sɔ̀b
foam,fèfùʼ
sp. green grasshopper,fèfùʼ metyé
difference; separation; distinction,fègte
sp. white termite,fégyaŋngwɔʼ
tokens; coins; pieces of money,feláŋ
two francs,feláŋ sépʉ́a
French,felaŋsée
French,felaŋsíi
sp. weed,feláʼ
dirtiness; dirt; excrement,fème
window,fènɛ́tèle
season change; climate change,fèŋe fÿag
brother,fɛ́
leaf,ffo
feather,ffo
medicine,ffo
pus,ffó
sp. ant,ffó
Bafou,Ffó
rat poison,ffo cʉcʉ̀a
sleeping drug,ffo lelɔ́g
earwax,ffó letuŋó
tie,ffo ndèpàʼ
toothache plant,ffo pàŋ
powder; ground (at a sacrificial site),ffo ssé
very fast,fím
The car passed so quickly that there was almost an accident.,"Matûa cʉ̌a lǎŋ lê fím, tà cʉ́ʼʉ méjʉʼ vɛ́ mbùmo nò kẅɛ."
raffia fibre,fǐŋ
lemongrass; lemon leaf,fipà ngalásè
We are going to add lemongrass to the malaria remedy.,Mé ge kẅiʼi fipà ngálásè na ffo lÿɔ̀g nnɛ́.
all the same,fó
"Send me someone anyway, he will help me.","Fó ńtúmo tàʼ nyìŋ ne mèŋ, à kẅéte wɔ́ɔn."
all the same,fó ... lâ
Come anyway.,Fó ńtó lâ.
filth,fòbe
film,fòbe
anthill; sacred site,foffó
executioner,foffò
spiny amaranth,fólóŋ
strong wind; tornado,fóm
old place,fòm
abandoned concession,fòm
dirtiness; dirt; excrement,fòme
mould,fòmo
pride,fómtè
His pride surpasses that of his father.,Afómtè yé cʉa ye tá we.
cow (generic),fòŋ
visitor to sick people,fòŋ
Some patients die from lack of visitors.,"Tsɔ́ méguɔ kwé, ńzága fòŋo."
canary,fóon
sp. beetle,fɔ̀b
unripe pistachio nut,fɔ̀bɔ njʉʼ
oedema,fɔ̀bte
mistake; fault; error,fɔ̂d
co-wife,fɔ́g
dawn,fɔg njÿó
white; off-white,fɔ́gɔ
"Before going to church, he wore a white habit.",À gwǎa gʉa cÿɔ́ɔsè ḿmaʼa fɔ́gɔ nzsǒ.
food without sauce,fɔ̀gɔ
He eats the couscous without sauce.,A ne ńjÿó mesaŋá fɔ̀gɔ.
food without oil added,fɔ̀gɔ
empty,fɔ̀gɔ
white of the eye,fɔ́gɔ̀ lejÿɔ́g
yellow-billed oxpecker,fɔ́gɔ̀ ncùm
sp. mongoose,fɔ́gɔ̀ shʉ̀shʉ̀
pumper,fɔ̀ɔn
"Since you bought the product for the coffee tree, have you seen the pump?",Tà ɔ̀ jǔ ffo kàafée péʼe tà ɔ̀ gyǎ fɔ̀ɔn?
log splitting wedge,fɔ̌ɔn
loan; credit,fù
sound of an instrument buried in a moist body,fùb
He stuck the knife into the melon that “fub”.,À sɔbɔ́ pùʼ na kalém lê fùb.
filth,fùbe
film,fùbe
foam,fùfùʼ
Foumbot,Fúmbɔ̀d
louse,fúɔ
king; chief,fùɔ
person responsible,fùɔ má ntsɔ̀ʼ
flea,fúɔ nkèsàŋ
pity king; sympathetic; compassionate; soft-hearted,fùɔ ntsɔ́ɔn
family head,fùɔ tsìŋe ndá
mayor,fùɔ tÿǒsoŋ
middle-class,fùɔlàb
middle-class,fùɔndàbnɛ́
Foto,Fùɔtɔ̀ʼ
creditor; debtor,fùu
"Here is some money, where is the creditor?","Nkáb yɔɔn, afùu gwɔ́ nzɔ̌?"
loan,fùu
The loan is not good.,Afùu té poŋ.
valley,fúʼ
treasure; something found,fùʼ
k. cultural dance at Batcham,fùʼmbùm
bushy; complex,fúʼtè
sleeve,fʉ́
blind person,fʉ̀
constipation,fʉ̀
shinbone; tibia,fʉ̌
spear handle,fʉ́a
Don't let the spear break the handle.,"Tè nyé lekwoŋ, ḿbwɔ́ʼ fʉ́a."
bar-breasted mousebird; speckled mousebird,fʉ̀a
"""bachelor"" (a unique vertical strip that results in an alternating weave when weaving a basket)",fʉ̌a
You don't weave a basket without introducing a singleton.,Mé těen ḿbáʼa túŋ té néŋe fʉ̌a wɔ́.
offender,fʉ̀a mbʉ̌
mistake; error,fʉ̀a pwó
"It's a mistake, I didn't know.","Á gwɔ́ pɔ́ fʉ̀a pwó, ń kɔʼɔ́ te ne ńzsé wɔ́."
sinner,fʉ̀ate nò
Men are all sinners.,Pʉ̀a mesoŋ ntsèm pú ńgwɔ́ pɔ́ pafʉ̀ate menò.
ulcer,fʉfʉ̌ŋ
prohibition,fʉ̀ŋ
The notable of prohibitions died so that the taboo began.,Ankěme fʉ̀ŋ kwě láʼ tà nzse zye.
frontier; trench,fʉ̀ŋ
wound,fʉ̌ŋ
sp. fly that bites,fʉ́ŋe
frontier,fʉ̀ŋe
He went to the edge of the village.,À gʉ̌a tà ńkúu fʉ̀ŋe láʼ.
anthill; termite mound,fʉ̀ŋe sɔ̀ɔn
horsefly,fʉ́ŋeméntoŋ ngesáŋ
trickery; deception,fʉ̀te
measure; measurement,fʉ̀ʼ
moment; time,fʉ̀ʼ
