ngiemboon,en,,,,
"Josias zyé Yekonia pâ mef?? pé. Á gw?? f??’ ay?? mé gwoonte pà Israel, p?? c??’ megà?a ts??a ncù, mé l?g? w??b ?gee Mbabilonia","and Josias begat Jechonias and his brethren, about the time they were carried away to Babylon: # https://www.bible.com/fr/bible/1/MAT.1.KJV #11",,,,
"Y?? kwò p??a t??g, Yekonia zyé Salati?l, Salati?l zyé Zorobabel,","and after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel; # https://www.bible.com/fr/bible/1/MAT.1.KJV #12",,,,
"Zorobabel zyé Abiud, Abiud zyé Eliakím, Eliakím zyé Az?r,",and Zorobabel begat Abiud, and Abiud begat Eliakim, and Eliakim begat Azor, # https://www.bible.com/fr/bible/1/MAT.1.KJV #13,
"Az?r zyé Sad?g, Sad?g zyé Akím, Akím zyé Eliud",and Azor begat Sadoc, and Sadoc begat Achim, and Achim begat Eliud, # https://www.bible.com/fr/bible/1/MAT.1.KJV #14,
"Eliud zyé Eléazar, Eléazar zyé Matan, Matan zyé Yakw??b,",and Eliud begat Eleazar, and Eleazar begat Matthan, and Matthan begat Jacob, # https://www.bible.com/fr/bible/1/MAT.1.KJV #15,
"Yakw??b zyé Yesy??b, Yesy??b gw?? nd?m Malî?, Malî? gw?? má pà Y?sô g?ie mé tó?o le*Nzà’nkÿo.","and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ. # https://www.bible.com/fr/bible/1/MAT.1.KJV #16",,,,
"E l?g? ?bú ?gw?? mejwo?ó nts??b lekù? nê legém tà fó ná Ábalam ?g?a ?kúu nà Ndavíd, ?gí?e ?gw?? mejwo?ó nts??b lekù? nê legém tà fó ná Ndavíd ?kúu nà f??’ gie mé la gwoon pà Israel, p?? c??’ megà?a ts??a ncù, mé l?g? w??b ?gee Mbabilonia, ?b???nte mé gí?e ?g?iin mejwo?ó nts??b lekù? nê legém tá ?g?a ?kúu ná*Nzà’nkÿo",So all the generations from Abraham to Davidarefourteen generations, and from David until the carrying away into Babylonarefourteen generations, and from the carrying away into Babylon unto Christarefourteen generations. # https://www.bible.com/fr/bible/1/MAT.1.KJV #17,,
"W??n aa pá’ á la c?a pú’u, tá mé zyé Y?sô Kristo. Má wé Malî? la gwaa gw??, mbà Yesy??b ka?á yé, tà mé z?í? ngie à z??’? yé, tá á nyé té g?a tà ?kúu mb??a yé, mé gyá á gw?? shwo?, mbà Z?ìge Nd?al??a z?? gÿ?","Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost. # https://www.bible.com/fr/bible/1/MAT.1.KJV #18",,,,
"Ànd?m we Yesy??b gw?? nyì? ?kíbe*lep?? t?’ tá’, ?ké té nê ?kwo?o lékyag nzèm yé tsets??? lá’ pá’*lep?? lá’ s??b né ?z??te pú’u w??, ?n? ?kwa?a p?? pá’ à ge l?’? yé p?? ts??? ntsèm tà nyì? le zsé,","Then Joseph her husband, being a justman, and not willing to make her a publick example, was minded to put her away privily. # https://www.bible.com/fr/bible/1/MAT.1.KJV #19",,,,
"?nyé ?kwa?a kwa?, ?dyé njÿòon ?gyá*cÿ??’ Ssé tó?o yé, ?g??n né yé ngie: Yesy??b, gu g?ie ?? na ng?? fu? Ndavíd, k?é nzw? gù Malî? ?né?e ndá té p??g, mélà’mie aa shwo? p??’?, mbà Z?ìge Nd?al??a z?? gÿ?.","But while he thought on these things, behold, the angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Ghost. # https://www.bible.com/fr/bible/1/MAT.1.KJV #20",,,,
"À ge táa zyé mú? mbà?a, ?? ts?i lezí? sé lê Y?sô, ?d?g? ?g??n ngie: Ssé ge gÿo mé ts???, é tó?o yé pú’u, mélà’mie yé z? ge gÿo p??a lá’ p??b ts??? ndòon menò tepò? m??b","And she shall bring forth a son, and thou shalt call his name JESUS: for he shall save his people from their sins. # https://www.bible.com/fr/bible/1/MAT.1.KJV #21",,,,
M??n menò l?g? ?bumte pá’??n nà shwó?ó gie C??ap??a la l??g ncwò Nts?ì Nk?? we ?g??n ngie:,"Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying, # https://www.bible.com/fr/bible/1/MAT.1.KJV #22",,,,
"mè ts?i lezí? sé lê Emanuel, e l?g? ?g??n ngie: «E Ssé ee nù? pege».","which being interpreted is, God with us. # https://www.bible.com/fr/bible/1/MAT.1.KJV #23",,,,
"*Cÿ??’ Ssé g??n pú’u, Yesy??b gw?? tà ?zyeen, ?gÿo mmó gie à ts?? né yé, ?k?é nzw? we ?né?e ndá.","Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his wife: # https://www.bible.com/fr/bible/1/MAT.1.KJV #24",,,,
"Tá’ p?? yé ké ?dá’ tè nu?e, tà á gÿo ?zyé mú? ?w??, Yesy??b ts?i lezí? sé lê Y?sô",and knew her not till she had brought forth her firstborn son: and he called his name JESUS. # https://www.bible.com/fr/bible/1/MAT.1.KJV #25,,,,
"Mé gwaa zyé Y?sô á tÿ?so? Mbetélehem á ts??? pàga ngwò? J?idea, é gw?? ngù’ fù?*Herôd. Á gw?? f??’ ay??, ets?? pàzsé nò nà mecÿ??’ sa? fó lá’ p??b mbu’ s?’ nèm ?tóo Yerósalem,","Now when Jesus was born in Bethlehem of Judæa in the days of Herod the king, behold, there came wise men from the east to Jerusalem, # https://www.bible.com/fr/bible/1/MAT.2.KJV #1",,,,
"?gwá ?k??’? ?z??te ngie: Àfù? pà Yuda g?ie mé ka zyé yé la gw?? p?? nz?? w??? Peg ka tyé lá’ peg mbu’ s?’ nèm ?gyá sa? we, peg tóo pá’??n léná mekù’ mé.","saying, Where is he that is born King of the Jews? for we have seen his star in the east, and are come to worship him. # https://www.bible.com/fr/bible/1/MAT.2.KJV #2",,,,
"P?? ne ?gwá ?z??te pú’u, ànò ày?? gwe metu?ó fù?*Herôd, ?bú ?cu’u twó yé, ?cu’u twó p??a metsèm ts??? tÿ?so? Yerósalem.","When Herod the king had heardthese things, he was troubled, and all Jerusalem with him. # https://www.bible.com/fr/bible/1/MAT.2.KJV #3",,,,
"Fù?*Herôd leen ?ké ?tó?*metándá pànù?e pw??’ pâ*pàkyagte lep?? M?sé ts??? lá’, ?z??te w??b ngie: Mé la ?we’e ts??? ?wà’ne Ssé ngie mé ge lá’ zyé*Nzà’nkÿo g?ie Ssé la ka’ á nz?? j?’??","And when he had gathered all the chief priests and scribes of the people together, he demanded of them where Christ should be born. # https://www.bible.com/fr/bible/1/MAT.2.KJV #4",,,,
"P?? shwó?ó yé ngie: Mé la ?we’e ts??? ?wà’ne Ssé ngie mé ge lá’ zyé yé á Mbetélehem, p?? ts??? ngwò? J?idea w??n, mélà’mie*nts?ì nk?? Ssé la ?we’e ngie:","And they said unto him, In Bethlehem of Judæa: for thus it is written by the prophet, # https://www.bible.com/fr/bible/1/MAT.2.KJV #5",,,,
á nue àfù? g?ie à ge lá’ sá’ p??a p???n pà Israel ge lá’ k?? p?? tsets??? pi».,That shall rule my people Israel. # https://www.bible.com/fr/bible/1/MAT.2.KJV #6,,,,
"*Herôd jú’ pú’u, ?tó? pàzsé nò nà mecÿ??’ sa?, pâ p?? tyé ntsèm, á z??te w??b ngie: Pi ka zye légyá w??n cÿ??’ sa? tà fó sí?e?","Then Herod, when he had privily called the wise men, enquired of them diligently what time the star appeared. # https://www.bible.com/fr/bible/1/MAT.2.KJV #7",,,,
"P?? píte shwó?ó yé, á leen ?ké ?túmo w??b Mbetélehem, ?g??n né p??b ngie: Pi g?a ?cÿó nn?? fa’a mú? ?w?? tà ?gyá yé, ?tó shwó?ó w???n, mè? n g?a y???n ?ná mekù’ mé.","And he sent them to Bethlehem, and said, Go and search diligently for the young child; and when ye have foundhim, bring me word again, that I may come and worship him also. # https://www.bible.com/fr/bible/1/MAT.2.KJV #8",,,,
"Pàzsé nò nà mecÿ??’ sa? jú’u nò gie fù?*Herôd g???n, ?c??me mánzsè, ?gí? ?zye légyá cÿ??’ sa? g?ie p?? la gyá lá’ p??b. Á gw?? mvfò ?gi?e p?? gi?e, ?g?a tà ?kúu j?’ gie mú? aa wó ?deen ?tyé, à tè gí?e ??ele w??.","When they had heard the king, they departed; and, lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was. # https://www.bible.com/fr/bible/1/MAT.2.KJV #9",,,,
"P?? gyá pú’u, ?bú ?kág t?’,","When they saw the star, they rejoiced with exceeding great joy. # https://www.bible.com/fr/bible/1/MAT.2.KJV #10",,,,
"?zy??’ ?kúu ts??? ndá, ?gyá mú? p?? má we Malî?, ?k?í’te ssé, ?ná mekù’ mú? ?bi? ?ta’ p???n s??b, ?né?e sh???e mú? nê ng??l p?? làménd???nntí p??a.","And when they were come into the house, they saw the young child with Mary his mother, and fell down, and worshipped him: and when they had opened their treasures, they presented unto him gifts; gold, and frankincense, and myrrh. # https://www.bible.com/fr/bible/1/MAT.2.KJV #11",,,,
"P?? ?né?e tà né ?bi?e nzèm, e Ssé l?g njÿòon shwó?ó w??b ngie: P?? p???n légí?e ?c?a lej??? fù?*Herôd. P?? leen ?ké ?c??’ ?pfó p?? nzsè ndy??’? tá ?bi? né lá’ p??b.","And being warned of God in a dream that they should not return to Herod, they departed into their own country another way. # https://www.bible.com/fr/bible/1/MAT.2.KJV #12",,,,
"P?? gw?? tà ?g?a, Yesy??b lyé njÿòon, ?gyá ts??*Cÿ??’ C??ap??a tó, ?g??n né yé ngie: Lu ssé, ?káa mú?, pi lâ mápfò kÿo, ?g?a lê ts??? ngwò? Egipto, ?né?e wó. Mè?, n ge gÿo shwó?ó gú f??’ gie ?? ge pi? nzèm. Á nue*Herôd ge fa’a mú? w?? léz?é yé.","And when they were departed, behold, the angel of the Lord appeareth to Joseph in a dream, saying, Arise, and take the young child and his mother, and flee into Egypt, and be thou there until I bring thee word: for Herod will seek the young child to destroy him. # https://www.bible.com/fr/bible/1/MAT.2.KJV #13",,,,
"Yesy??b lu ssé p?? lets???’, ?kaa mú?, pâ mápfò g?a lê ts??? ngwò? Egipto,","When he arose, he took the young child and his mother by night, and departed into Egypt: # https://www.bible.com/fr/bible/1/MAT.2.KJV #14",,,,
?dá’ ?né?e wó tà fù?*Herôd kwé. M??n menò l?g? ?bumte ná pá’ C??ap??a Ssé la t?? njÿó ?d?g ncwò Nts?ì Nk?? we ?g??n ngie: «Mè? n ge gÿo Mí? w???n fó ts??? ngwò? Egipto ?bi? nzèm»,"and was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son. # https://www.bible.com/fr/bible/1/MAT.2.KJV #15",,,,
"*Herôd gw?? tà ?gyá ngie pàzsé nò nà mecÿ??’ sa? ka paba yé, ?gyá?a ló? t?’, ?deen ?túm p??a ngie p?? g?a tÿ?so?o Mbetélehem tà mb?? menkw?’?? tÿ?so?, ?bú ?z?éte penk?? ntsèm pie e k?’ ngù’ p??a mb?? pie é nyé tè ku’ ngù’ p??a, ?d?g? ?d??te pú’u, nà f??’ gie p?? ka shwó?ó yé ngie cÿ??’ sa? la k??.","Then Herod, when he saw that he was mocked of the wise men, was exceeding wroth, and sent forth, and slew all the children that were in Bethlehem, and in all the coasts thereof, from two years old and under, according to the time which he had diligently enquired of the wise men. # https://www.bible.com/fr/bible/1/MAT.2.KJV #16",,,,
"Á l?g? pú’u, ?bumte nà nò gie Yeremi,*nts?ì nk?? Ssé la t?? njÿó ?g??n ngie:","Then was fulfilled that which was spoken by Jeremy the prophet, saying, # https://www.bible.com/fr/bible/1/MAT.2.KJV #17",,,,
Á pú tè né ?kwo?o ngie mé tsí’i ntse nÿ??g mé w??».,"And would not be comforted, because they are not. # https://www.bible.com/fr/bible/1/MAT.2.KJV #18",,,,
"*Herôd la gw?? tà ?kwé, Yesy??b lyé njÿòon Egipto, ?gyá àts??*Cÿ??’ C??ap??a tó,","But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt, # https://www.bible.com/fr/bible/1/MAT.2.KJV #19",,,,
"?g??n né yé ngie: Lu ssé, ?káa mú?, pi lâ mápfò pi? nzèm lê ts??? ngwò? Israel. Á nue p??a pie p?? k???n fa’a léz?é mú? k?en ?kwéte.","saying, Arise, and take the young child and his mother, and go into the land of Israel: for they are dead which sought the young child's life. # https://www.bible.com/fr/bible/1/MAT.2.KJV #20",,,,
"Yesy??b lu ssé, ?káa mú?, pâ mápfò ne ?bi?e nzèm né ts??? ngwò? Israel,","And he arose, and took the young child and his mother, and came into the land of Israel. # https://www.bible.com/fr/bible/1/MAT.2.KJV #21",,,,
"á jú’ ngie Arkélaw?is z? né sá’a pàga ngwò? J?idea, tà fó pá’ tá we*Herôd ka kw?, ?n? ?cÿ?’? lég?a J?idea, ?dyé njÿòon, C??ap??a náa yé ntÿ?g??. Á c??’ ?g?a p?? lê ts??? pàga ngwò? Galilea,","But when he heard that Archelaus did reign in Judæa in the room of his father Herod, he was afraid to go thither: notwithstanding, being warned of God in a dream, he turned aside into the parts of Galilee: # https://www.bible.com/fr/bible/1/MAT.2.KJV #22",,,,
"?g?a tà ?kúu wó, ?n? ?ts?é ts??? ts?? tÿ?so?, mé tó?o lê N?zar?d, á l?g? ?bumte ná pá’ pà*nts?ì nk?? Ssé la t?? njÿó ?g??n nò ná*Nzà’nkÿo ngie: «Mé ge lá’ tó?o yé lê nyì? N?zar?d».","and he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the prophets, He shall be called a Nazarene. # https://www.bible.com/fr/bible/1/MAT.2.KJV #23",,,,
"Á zye ?né?e, Jâ? Mbabtis k??? nkwò?o ts?? J?idea, ?n? sá’a ngie:","In those days came John the Baptist, preaching in the wilderness of Judæa, # https://www.bible.com/fr/bible/1/MAT.3.KJV #1",,,,
"Pi kúbe mà g?i, á nue àf??’ gie Ssé ge ny? lefù? sé tsoté tà ne ?b???nte.","and saying, Repent ye: for the kingdom of heaven is at hand. # https://www.bible.com/fr/bible/1/MAT.3.KJV #2",,,,
?gÿo mely?en nzsè mé e tyé nd?? nd??».,Make his paths straight. # https://www.bible.com/fr/bible/1/MAT.3.KJV #3,,,,
"Jâ? laa nkwò?o ts??, ?ma’ nzs?, mbà mé la l?g meno? kamel ?bá’, ?d?g?*ngùb n???n ?t??me z???’ yé, àyé mmó léjÿó e gw?? ng?m ?gÿo n?wá’ ts??.","And the same John had his raiment of camel's hair, and a leathern girdle about his loins; and his meat was locusts and wild honey. # https://www.bible.com/fr/bible/1/MAT.3.KJV #4",,,,
"Ep??a n? fóo Yerósalem, éfóo J?idea, mb?? ná pàga ngwò? gie áa ng???e ntse Jurde?, ?tóo, ?gyá Jâ?,","Then went out to him Jerusalem, and all Judæa, and all the region round about Jordan, # https://www.bible.com/fr/bible/1/MAT.3.KJV #5",,,,
"?tyé mvfò mânyì? ntsèm, ?z?í?e meno tepo? m??b, á nu’u w??b ts??? ntse Jurde?.","and were baptized of him in Jordan, confessing their sins. # https://www.bible.com/fr/bible/1/MAT.3.KJV #6",,,,
"Jâ? gyá pá’ p??a ná nù? pà*farisay paa p??a ná nù? pà*sadukay tó y??b tà ?gy???n, pá’ à ge nu’u w??b ntse, ?g??n né p??b ngie: ng??? mennú, pàpá’ legye, àw?? z? pi? shwó?ó g?i lékÿo ng??’ gie pi ly?bté tà é ne ?ge gwe á ná pi.","But when he saw many of the Pharisees and Sadducees come to his baptism, he said unto them, O generation of vipers, who hath warned you to flee from the wrath to come? # https://www.bible.com/fr/bible/1/MAT.3.KJV #7",,,,
Pi gÿo p?? menò mbò?o mie e ny?? ngie pi kubé mà.,Bring forth therefore fruits meet for repentance: # https://www.bible.com/fr/bible/1/MAT.3.KJV #8,,,,
"Pi p???n lél?g p?? ndà’ ncwò g?i ?g??n ngie: Peg ee ng??? Ábalam. Tà mè? n ké shwó?ó g?í, e Ssé ku’u lésele metóon p???n ?d?g ?gÿo ng??? Ábalam","and think not to say within yourselves, We have Abraham toourfather: for I say unto you, that God is able of these stones to raise up children unto Abraham. # https://www.bible.com/fr/bible/1/MAT.3.KJV #9",,,,
"Mé n? ?z??n ndá’ ?kaa ?z??n lél?g ?k??’? y?? y?? tÿ? w?? gie á té zém nt???n mbò?o w??, éfó ssé k??’? yé, e ké ma’ p?? mm??g","And now also the axe is laid unto the root of the trees: therefore every tree which bringeth not forth good fruit is hewn down, and cast into the fire. # https://www.bible.com/fr/bible/1/MAT.3.KJV #10",,,,
"Mè?, n g?iin y???n p?? ndà’ lénu’u g?i ts??? ntse, lél?g ?ny? ngie pi kubé mà. Tá nyì? g?ie aa nzèm mè? ?ne ?tóo, ge tó yé né? p??a mbwó Z?ìge Nd?al??a, é né? p??a ts??? mm??g. À c?a w???n, tà mè? n tè ku’u lés?? mel???n mé w??.","I indeed baptize you with water unto repentance: but he that cometh after me is mightier than I, whose shoes I am not worthy to bear: he shall baptize you with the Holy Ghost, andwithfire: # https://www.bible.com/fr/bible/1/MAT.3.KJV #11",,,,
"À ge tó ty??te shúm sie mé lagá nká’. E né? sé mbò?o ts??? nkì?. E c??’ k???e, à pÿ?? ts??? mm??g g?ie é té ?dá’a ?byé w??.","whose fanisin his hand, and he will throughly purge his floor, and gather his wheat into the garner; but he will burn up the chaff with unquenchable fire. # https://www.bible.com/fr/bible/1/MAT.3.KJV #12",,,,
"Y?sô leen ?ké fó Galilea ?tóo ncwò ntse Jurde?, ?gyá Jâ? légw?? gie Jâ? ge nu’u yé ntse.","Then cometh Jesus from Galilee to Jordan unto John, to be baptized of him. # https://www.bible.com/fr/bible/1/MAT.3.KJV #13",,,,
"Jâ? n? ?d?’?, ?n? ?g??n né yé ngie: Gù z? g?iin lénu’u w???n ntse, ?? p?? ?tó ngie mè? n nu’u gú ts??? ntse lá?","But John forbad him, saying, I have need to be baptized of thee, and comest thou to me? # https://www.bible.com/fr/bible/1/MAT.3.KJV #14",,,,
"Tá Y?sô ts??’? mbwo yé ngie: Z?í? ngie á gw?? pú’u, f??’??n, mélà’mie p??g? l??n ?gÿo pú’u, tá á l?g? ?gw?? mmó gie e Ssé né ?z??te. Jâ? leen ?ké ?z?í?,","And Jesus answering said unto him,Sufferit to be sonow: for thus it becometh us to fulfil all righteousness.Then he suffered him. # https://www.bible.com/fr/bible/1/MAT.3.KJV #15",,,,
"?nu’u yé ntse. Y?sô gw?? tá ?k??, ncwò tÿ? lepwó ts??’? ?tyé. Á gyá Z?ìge Ssé fó tÿ? és???’ ?gw?? pá’ kàp?? la, ?tó ?né?e ná yé.","And Jesus, when he was baptized, went up straightway out of the water: and, lo, the heavens were opened unto him, and he saw the Spirit of God descending like a dove, and lighting upon him: # https://www.bible.com/fr/bible/1/MAT.3.KJV #16",,,,
"Ngyè fó tÿ? lepwó ngie: W??n aa Mí? w???n, mè? n kwo?o yé t?’, aa w???n lekág","and lo a voice from heaven, saying, This is my beloved Son, in whom I am well pleased. # https://www.bible.com/fr/bible/1/MAT.3.KJV #17",,,,
"À Z?ìge Ssé fó j?’ó, ?d?g? Y?sô ?gee nkwò?o ts??, pá’ Sátà ge kwa’te yé.",Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil. # https://www.bible.com/fr/bible/1/MAT.4.KJV #1,,,,
Á ?né?e wó ly??’ lá’ móm lekù? té pf??? mmó tà nzyè gyá?a yé.,"And when he had fasted forty days and forty nights, he was afterward an hungred. # https://www.bible.com/fr/bible/1/MAT.4.KJV #2",,,,
"Sátà tó ?kwa’te yé, ?g??n ngie: Pá’ ?? Mí? Ssé lá, leen ?ké ?ts?i né metóon p?? ngie é sele ?c??’? mmó léjÿó ?? jÿó.","And when the tempter came to him, he said, If thou be the Son of God, command that these stones be made bread. # https://www.bible.com/fr/bible/1/MAT.4.KJV #3",,,,
À l?g p?? y?? shwó?ó w?? gie á k??? ncwò Ssé».,"But he answered and said,It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God. # https://www.bible.com/fr/bible/1/MAT.4.KJV #4",,,,
"Sátà l?g? Y?sô ?g?a lê tÿ?so? Yerósalem, ?tÿ??g? yé nà nts??’ gie ee*j?’? Ssé,","Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple, # https://www.bible.com/fr/bible/1/MAT.4.KJV #5",,,,
"?g??n né yé ngie: Pá’ ?? Mí? Ssé lá, ky??? ?tyé ssé, mélà’mie mé la ?we’e ts??? ?wà’ne Ssé ngie: «Ssé ge shwó? mecÿ??’ pé pá’ p?? ge gÿo ná gù, p?? ge l?g mbwó m??b kaa gú tà ?? le túu kwò jú ná tóon w??».",Lest at any time thou dash thy foot against a stone. # https://www.bible.com/fr/bible/1/MAT.4.KJV #6,,,,
Y?sô ts??’? mbwó yé ngie: Mé la gí? ?we’e ts??? ?wà’ne Ssé ngie: «MÀb???n nyì? létsí?e C?ap?a Ssé ye tsí?e ngie à gÿo mmó ná yé»,"Jesus said unto him,It is written again, Thou shalt not tempt the Lord thy God. # https://www.bible.com/fr/bible/1/MAT.4.KJV #7",,,,
"Sátà gí?e ?d?g? yé ?g?a, ?tÿ??g? yé ndùm ts?? lekw?? sie é g?a taa tÿ?, ?tyé wó, ?ny?? yé mengwò?o mengwò? mie ee ts??? njÿó mb?? mmó gie p?? l?g? fá?a,","Again, the devil taketh him up into an exceeding high mountain, and sheweth him all the kingdoms of the world, and the glory of them; # https://www.bible.com/fr/bible/1/MAT.4.KJV #8",,,,
"?g??n né yé ngie: ?? l??n ?k?í’te mvfò mè? ?gu’te w???n, m bú ?ná né gu.","and saith unto him, All these things will I give thee, if thou wilt fall down and worship me. # https://www.bible.com/fr/bible/1/MAT.4.KJV #9",,,,
"Y?sô g??n né yé ngie: Sátà, fó lej??? mè? s??’te nn??, mélà’mie mé la ?we’e ts??? ?wà’ne Ssé ngie: «Nyì? gu’te p?? ndà’ C??ap??a Ssé gíle yé ?bi? ?jú’ p?? ndà’ ncwò wé».","Then saith Jesus unto him,Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve. # https://www.bible.com/fr/bible/1/MAT.4.KJV #10",,,,
"Sátà leen ?ké ?nyé Y?sô.*Mecÿ??’ Ssé tó, ne ?k?éte yé.","Then the devil leaveth him, and, behold, angels came and ministered unto him. # https://www.bible.com/fr/bible/1/MAT.4.KJV #11",,,,
"Mé la ?né?e Jâ? ndá ts??, Y?sô gÿo ?jú’, ?g?a lê Galilea,","Now when Jesus had heard that John was cast into prison, he departed into Galilee; # https://www.bible.com/fr/bible/1/MAT.4.KJV #12",,,,
"?kúu N?zar?d ?c?a c?a ?g?a ?né?e Kapernawúm. Á gw?? tÿ?so? ?gw?? ng???e let?? Galilea, á lá’ gie Zabulo? p?? Neftali tÿ??’te yé ?né?e so?.","and leaving Nazareth, he came and dwelt in Capernaum, which is upon the sea coast, in the borders of Zabulon and Nephthalim: # https://www.bible.com/fr/bible/1/MAT.4.KJV #13",,,,
"Á gw?? pú’u, tá nò gie Es?ya*nts?ì nk?? Ssé la g??n l?g ?bumte. À la g??n ngie:","that it might be fulfilled which was spoken by Esaias the prophet, saying, # https://www.bible.com/fr/bible/1/MAT.4.KJV #14",,,,
"pi p??a Galilea, pi pie pi lâ p??a pie e té Ssé zsé ne?é",Galilee of the Gentiles, # https://www.bible.com/fr/bible/1/MAT.4.KJV #15,,,
ná p??a pie e ka ne?é ts??? ngwò? g?ie ssé nz?m we legwé à kaa wó».,Light is sprung up. # https://www.bible.com/fr/bible/1/MAT.4.KJV #16,,,,
"Y?sô gw?? Kapernawúm pú’u, ?zye léshwó?ó nò Ssé, ?n? ?g??n ngie: Pi kúbe mà g?i, á nue àf??’ gie Ssé ge ny? lefù? sé tsoté tà ne ?b???nte","From that time Jesus began to preach, and to say,Repent: for the kingdom of heaven is at hand. # https://www.bible.com/fr/bible/1/MAT.4.KJV #17",,,,
"Y?sô gÿo ne ?gi?e ng???e let?? Galilea, ?gyá Símo g?ie mé gí? ?tó?o yé ngie Pi?, mb?? Ndeléya g?ie aa f?? Símo ?w??. P?? ne ma’a lekÿò ntse.","And Jesus, walking by the sea of Galilee, saw two brethren, Simon called Peter, and Andrew his brother, casting a net into the sea: for they were fishers. # https://www.bible.com/fr/bible/1/MAT.4.KJV #18",,,,
"Y?sô g??n né p??b ngie: Pi tó, ?c??me nzèm mè?, n d?g? g?i ?gÿo pàfà’ p??a meso?.","And he saith unto them,Follow me, and I will make you fishers of men. # https://www.bible.com/fr/bible/1/MAT.4.KJV #19",,,,
P?? gwóon ?nyé menkÿò ?c??me nzèm yé.,"And they straightway lefttheirnets, and followed him. # https://www.bible.com/fr/bible/1/MAT.4.KJV #20",,,,
"Mé ná’a ?zye ?gi?, Y?sô gyá Jâg p?? Jâ?, é gw?? gubé Zebede, pâ tá w?b pú ?gw?? ts??? kanú’ ?ne ?ny?te menkÿò m??b, á tó?o w??b.","And going on from thence, he saw other two brethren, Jamesthe sonof Zebedee, and John his brother, in a ship with Zebedee their father, mending their nets; and he called them. # https://www.bible.com/fr/bible/1/MAT.4.KJV #21",,,,
P?? gwóon ?nyé kanú’ mb?? tá w?b ?c??me nzèm yé.,"And they immediately left the ship and their father, and followed him. # https://www.bible.com/fr/bible/1/MAT.4.KJV #22",,,,
