en,ngiemboon
And the rough waysshall bemade smooth;,ńkwɔg melu’ú mie ée ná mánzsé ésaŋte
"To set at liberty them that are bruised,","ngie n gʉa, ńtág nzèm pʉ̀a pie mé ne sẅɛ́ɛ wɔ́b,"
"And they did so, and made them all sit down.",Pɔ́ gÿo pɔ́ ńnéŋe ssé.
"And he spake this parable unto them, saying,",Yěsô lêen ńké saga mbwo pɔ́b ngie:
Remember Lot's wife.,Pi kímte nzwě Lod.
AndJesusentered and passed through Jericho.,"Yěsô kúu Yériko, ńně ńzyɛ́’ɛ tÿǒsoŋ,"
"And they said, The Lord hath need of him.",Pɔ́ tsɔ́’ ngie: Andè zɔ ne ńtsɔ́ɔn.
Last of all the woman died also.,Á gwaa zsote manzwě kwé yé.
"Sit thou on my right hand,","Tóo ńnéŋe nà gwoŋó pwó yɔ́ɔn ye tʉ̀,"
But there shall not an hair of your head perish.,"Tá’, tsɔ̌ tà’ noŋ ké letsɔ́’ɔ twó pi tà ḿbyé wɔ́."
In your patience possess ye your souls.,"Pi shÿɔg shÿɔg, ńgÿo ńgẅiin légwɔ́ tèmì."
"And Peter went out, and wept bitterly.","Piɛ fóo tetʉ́a ńkẅɛ, ḿbú ńdʉa tɛ’."
"I will therefore chastise him, and releasehim.",[
"And he tookit, and did eat before them.","Á kẅé, ńtyé pɔ́ mvfò pɔ́b ḿpfɛ́."
The same was in the beginning with God.,Yé shwóŋè pɔ́ Ssé gwɔ́ tà fó pɔ́ nzyeté.
"There was a man sent from God, whose namewasJohn.","E Ssé gÿo ńtúmo tsɔ̌ nyìŋ, lezíŋ se gwɔ́ lé Jâŋ."
For John was not yet cast into prison.,"Á la gwaa gwɔ́, mé nyé té ńnéŋe Jâŋ ndá tsǎŋ."
I am that bread of life.,Ammó léjÿó gie á gÿo mé gwɔ́ wó à gwɔ́ pɔ́ mèŋ.
And every man went unto his own house.,"Pɔ́ gÿo pú’u, ésyeente, awɔ̌wɔ́ɔ gʉa nê mbʉ̀a yé."
I andmyFather are one.,Peg Tá wɔ̀ɔn gwɔ́ pɔ́ tà’ nyìŋ.
Then the Jews took up stones again to stone him.,"Pà Yuda gíŋe ńdag metóon, lélɔg ńtémte Yěsô ńzẅé."
Jesus wept.,Yěsô lʉa.
"Then said the Jews, Behold how he loved him!","Pà Yuda gɔɔn ngie, pi gyá pá’ à kɔ̌ɔn ńkwoŋo yé."
He that hateth me hateth my Father also.,"Nyìŋ lɔɔn ḿbʉa wɔ̀ɔn, mbà à lɔgɔ ḿbʉa Tá wɔ̀ɔn."
"And they took Jesus, and ledhimaway.",Mé lêen ńké ńdɔgɔ Yěsô ńgʉa.
His bishoprick let another take.,ńgíŋe ńcʉ́me ngie tsɔ̌ nyìŋ ndyɛ’ɛ jÿó jʉ’ yé.
"Blood, and fire, and vapour of smoke:","Mé gyá metse, ńgyá mmɔ̌g, ńgyá pá’ ndyé fu’u,"
Day of the Lord come:,é gwɔ́ lyɛ̌’ gie e Ssé nyɛɛ mmó gie aa yɛ̌.
And the people imagine vain things?,Melá’ melá’ fa’a nò pá’ɔɔn á gwɔ́ mélà’a kɔ́?
"Against the Lord, and against his Christ.",mbɔɔ nyìŋ gẅie à la zɔ́’ɔ yé ńdɔg ńgÿo fùɔ
By the space offorty years in the wilderness?,ńgwa menɔ̀ɔn ńdɔg ńgu’te wɔ̀ɔn mɔɔn ka?
And I will carry you away beyond Babylon.,pi gʉa tà ńtɔ́g ngwòŋ Mbabilonia.
Or whatisthe place of my rest?,"ajʉ’ gie á lɔɔn ńgwɔ́ n zẅɛte wó, áa wó?"
Hath not my hand made all these things?,Mèŋ n zɔ la tè nyɛte shúm ntsèm wâ?
For his life is taken from the earth.,pá’ mé la zá’a yé zǎ’ ńzẅé.
But God raised him from the dead:,Tá Ssé zíme yé nà legwé.
and there they preached the gospel.,ńgíŋe ně ńtsẅii pɔ́ nkʉ̀ mbòŋo.
"Saith the Lord, who doeth all these things.",À lɔgɔ pá’ɔɔn ńgÿo menò mie à la záb.
So Paul departed from among them.,Pɔl cʉ́’ ńkẅɛɛ tsetsɛ̀ɛ pɔ́b ńgʉa gʉa.
"And seeing ye shall see, and not perceive:","é cwoŋo náŋte, é ké le gyá"
And mightest overcome when thou art judged.,Ńgwɔ́ gie nyìŋ ŋaga gú á le gú jÿó.
"There is none righteous, no, not one:",Tà tsǒon tà’.
"There is none that doeth good, no, not one.",Nyìŋ mesoŋ tè nò mbòŋo gÿo tà tsǒon tà’.
Whose mouthisfull of cursing and bitterness:,"Ncwò wɔ́b zoon pʉ̀a zoon, ńnéŋ pɔ́ ndòon."
And the way of peace have they not known:,Ńgwɔ́ pɔ́ lélɔg mbʉ́lè ńtóo jʉ’ wɔ́.
There is no fear of God before their eyes.,Pɔ́ gÿo yɔ́b nò pɔ́ tè pɔ̌g Ssé.
And whose sins are covered.,MÀvéle menò tepòŋ mɔ́b
And their words unto the ends of the world.,Anò gie pɔ́ gɔ̌ɔn gǐŋ giŋ tà ńkúu nzsòte tsetsá’.
Andby a foolish nation I will anger you.,Ńtí pà túm pie pi gɔɔn ngie legyè sɔ́b té wó wɔ́
"And a stumblingblock, and a recompence unto them:",Á poŋ ngie Ssé néŋ ngʉ̀ngʉ̀ twó pɔ́b.
And sing unto thy name.,MÀbiŋ ńzɔb ńgu’te lezíŋ shú.
"Rejoice, ye Gentiles, with his people.",Pia pʉ̀a Cʉ̀apʉ̀a temte ḿbú ńkág.
"Greet Mary, who bestowed much labour on us.",Pi tsyɛ’te Malîɛ. À ka téŋe zì’i tɛ’ ńtí gẅí.
Let all your things be done with charity.,"Pi lɔɔn ne ńgÿo pɔ́ kɔ́ wɔ́, pi lɔg pɔ́ nkwòŋe."
"And I will receive you,",Mèŋ n deen ńké ńkúe gẅí.
saith the Lord Almighty.,"Cʉ̀apʉ̀a, ngàŋa tʉ̀ ntsèm zɔ gɔɔn."
His righteousness remaineth for ever.,Apòŋo ntʉ́myé áa ntě ḿmaga wɔ́.
to whombeglory for ever and ever. Amen.,"Pʉ̀a mesoŋ gu’te Ssé mengù’u mengù’, Ameŋ."
And they glorified God in me.,"Á cʉa pú’u, pɔ́ ne ńgu’te Ssé ńtí wɔ̀ɔn."
And gave gifts unto men.,Ńnáa fù’ ntí ntí mbwo pʉ̀a mesoŋ.
neither give place to the devil.,Pi pɔ́ɔn lénná shÿó lɔg ńgwoon gẅi mbwo Sátà.
Be not ye therefore partakers with them.,"Pú’u la, tà pia yɛ̌ ntí pʉ̀a teme tsɔ́ nò."
For ye are our glory and joy.,"Oon pi ee weg legú’, ńgwɔ́ weg lekág."
Rejoice evermore.,Pi ne ńkága kǎg fʉ̀’ ntsèm.
Pray without ceasing.,"Pi ne ńtsyɛ’te Ssé fʉ̀’ ntsèm,"
Quench not the Spirit.,Tà pi tɔ’ɔ Zẅìge Ssé léfa’a fà’.
Prove all things; hold fast that which is good.,"ńgʉa nà kɔ́ wɔ́, ńtsa’ ḿbí pɔ́ ye mbòŋo,"
Abstain from all appearance of evil.,ḿbú ńkÿo nò tepòŋ ntsèm.
"Brethren, pray for us.","Mefɛ́ mefɛ́, pi sẅíŋte Ssé mbɔɔ ná ség twó."
Do thy diligence to come shortly unto me:,Kag tʉ̀ ńtɔ́g ńtó ńkẅɛ́te wɔ̀ɔn.
And Tychicus have I sent to Ephesus.,N ka túmo Tishig á tÿǒsoŋo Efeso.
And he shall be to me a Son?,à gwɔ́ mbwo mèŋ ńgwɔ́ míŋ wɔ̀ɔn mɔ́.
With the oil of gladness above thy fellows.,Mèŋ n da cÿó gʉme jú ńcʉa ye*ngàŋa kwò jú.
And the heavens are the works of thine hands:,Lepwó gíŋe ńgwɔ́ pɔ́ mefà’ mú.
And they all shall wax old as doth a garment;,Sɛ̌ shúm ge gÿo zẅìŋ pá’ nzsǒ la
"To day if ye will hear his voice,",Pi lɔɔn ńjú’ ngyè Ssé lyɛ̌’ɔɔn
Harden not your hearts.,Tà pi ziŋe metuŋó mí.
To day have I begotten thee.,tà fó lyɛ̌’ɔɔn n gwɔ́ tá gù».
And they shall be to me a people:,pɔ́ gwɔ́ pʉ̀a pɔ́ɔn
But a body hast thou prepared me:,Tá ńké ńná mbùm nnɛ́ né mèŋ
And in their minds will I write them;,Mbɔɔ nkwaŋá wɔ́b tyé pɔ́ nà mbʉ̌ mɔ́ɔn
Nor faint when thou art rebuked of him:,À lɔɔn ńcÿɔ́gɔ gú ɔ̀ pɔ́ɔn létsyɛte nnɛ́
What man shall do unto me.,Nyìŋ mesoŋ ku’u légÿo kɔ́ ná mèŋ?
Written to the Hebrews from Italy by Timothy.,E Ssé ne ńgwɔ́ né pi metsèm.
"The same is made the head of the corner,",léen ńcʉ́’ʉ tóon lezẅé ndá.
And his lips that they speak no guile:,"ḿbɔ́ɔn ncwò we, ḿbɔ́g cÿɔ̌ nò."
"Let him seek peace, and ensue it.","é fa’ mbʉ́lè, ńzsete nzèm yé."
"And of some have compassion, making a difference:",Pi tsɔ́ɔɔn mezìŋe pʉ̀a pie pɔ́ ne ḿmʉ́’te mʉ’té
"If any man have an ear, let him hear.","Nyìŋ lɔɔn ńgẅiin metuŋó lélɔg ńjú’u nò, á jú’."
THE END,Cʉ̀apʉ̀a Yěsô ne ńgwɔ́ né pi metsèm!
